configuration_index,lowpass_hz,global_zscore_mean,global_zscore_std,optimizer,stlsq_threshold,alpha,nu,degree,n_delays,delay_samples,delay_ms,embedding_span_ms,smooth_window_samples,smooth_window_ms,derivative_method,fit_status,fit_failure_reason,nonzero_terms,possible_terms,term_utilization_percent,fit_runtime_s,feature_names_json,coefficients_json,equations
43,35.0,,,sr3,0.1,0.05,1.0,1,4,1,4.0,12.0,5,20.0,smoothed_finite_difference_savgol_order_3,failed,SR3.__init__() got an unexpected keyword argument 'threshold',0,20,,0.0009504593908786774,,,
44,35.0,,,sr3,0.1,0.05,10.0,1,4,1,4.0,12.0,5,20.0,smoothed_finite_difference_savgol_order_3,failed,SR3.__init__() got an unexpected keyword argument 'threshold',0,20,,0.0009596236050128937,,,
45,35.0,,,sr3,0.1,0.05,0.01,1,4,1,4.0,12.0,9,36.0,smoothed_finite_difference_savgol_order_3,failed,SR3.__init__() got an unexpected keyword argument 'threshold',0,20,,0.0009226948022842407,,,
46,35.0,,,sr3,0.1,0.05,0.1,1,4,1,4.0,12.0,9,36.0,smoothed_finite_difference_savgol_order_3,failed,SR3.__init__() got an unexpected keyword argument 'threshold',0,20,,0.0009450409561395645,,,
47,35.0,,,sr3,0.1,0.05,1.0,1,4,1,4.0,12.0,9,36.0,smoothed_finite_difference_savgol_order_3,failed,SR3.__init__() got an unexpected keyword argument 'threshold',0,20,,0.0009376164525747299,,,
48,35.0,,,sr3,0.1,0.05,10.0,1,4,1,4.0,12.0,9,36.0,smoothed_finite_difference_savgol_order_3,failed,SR3.__init__() got an unexpected keyword argument 'threshold',0,20,,0.0009267833083868027,,,
49,35.0,,,sr3,0.1,0.05,0.01,1,4,2,8.0,24.0,0,0.0,finite_difference,failed,SR3.__init__() got an unexpected keyword argument 'threshold',0,20,,0.0009601768106222153,,,
50,35.0,,,sr3,0.1,0.05,0.1,1,4,2,8.0,24.0,0,0.0,finite_difference,failed,SR3.__init__() got an unexpected keyword argument 'threshold',0,20,,0.0009721275418996811,,,
51,35.0,,,sr3,0.1,0.05,1.0,1,4,2,8.0,24.0,0,0.0,finite_difference,failed,SR3.__init__() got an unexpected keyword argument 'threshold',0,20,,0.0009582396596670151,,,
52,35.0,,,sr3,0.1,0.05,10.0,1,4,2,8.0,24.0,0,0.0,finite_difference,failed,SR3.__init__() got an unexpected keyword argument 'threshold',0,20,,0.0009497515857219696,,,
53,35.0,,,sr3,0.1,0.05,0.01,1,4,2,8.0,24.0,5,20.0,smoothed_finite_difference_savgol_order_3,failed,SR3.__init__() got an unexpected keyword argument 'threshold',0,20,,0.0009716060012578964,,,
54,35.0,,,sr3,0.1,0.05,0.1,1,4,2,8.0,24.0,5,20.0,smoothed_finite_difference_savgol_order_3,failed,SR3.__init__() got an unexpected keyword argument 'threshold',0,20,,0.0009829867631196976,,,
55,35.0,,,sr3,0.1,0.05,1.0,1,4,2,8.0,24.0,5,20.0,smoothed_finite_difference_savgol_order_3,failed,SR3.__init__() got an unexpected keyword argument 'threshold',0,20,,0.0009816717356443405,,,
56,35.0,,,sr3,0.1,0.05,10.0,1,4,2,8.0,24.0,5,20.0,smoothed_finite_difference_savgol_order_3,failed,SR3.__init__() got an unexpected keyword argument 'threshold',0,20,,0.0009598322212696075,,,
57,35.0,,,sr3,0.1,0.05,0.01,1,4,2,8.0,24.0,9,36.0,smoothed_finite_difference_savgol_order_3,failed,SR3.__init__() got an unexpected keyword argument 'threshold',0,20,,0.0009499546140432358,,,
58,35.0,,,sr3,0.1,0.05,0.1,1,4,2,8.0,24.0,9,36.0,smoothed_finite_difference_savgol_order_3,failed,SR3.__init__() got an unexpected keyword argument 'threshold',0,20,,0.0009500496089458466,,,
59,35.0,,,sr3,0.1,0.05,1.0,1,4,2,8.0,24.0,9,36.0,smoothed_finite_difference_savgol_order_3,failed,SR3.__init__() got an unexpected keyword argument 'threshold',0,20,,0.0009540393948554993,,,
60,35.0,,,sr3,0.1,0.05,10.0,1,4,2,8.0,24.0,9,36.0,smoothed_finite_difference_savgol_order_3,failed,SR3.__init__() got an unexpected keyword argument 'threshold',0,20,,0.000956408679485321,,,
61,35.0,,,sr3,0.1,0.05,0.01,1,4,5,20.0,60.0,0,0.0,finite_difference,failed,SR3.__init__() got an unexpected keyword argument 'threshold',0,20,,0.0009357333183288574,,,
62,35.0,,,sr3,0.1,0.05,0.1,1,4,5,20.0,60.0,0,0.0,finite_difference,failed,SR3.__init__() got an unexpected keyword argument 'threshold',0,20,,0.0009269695729017258,,,
63,35.0,,,sr3,0.1,0.05,1.0,1,4,5,20.0,60.0,0,0.0,finite_difference,failed,SR3.__init__() got an unexpected keyword argument 'threshold',0,20,,0.0009461101144552231,,,
64,35.0,,,sr3,0.1,0.05,10.0,1,4,5,20.0,60.0,0,0.0,finite_difference,failed,SR3.__init__() got an unexpected keyword argument 'threshold',0,20,,0.000997152179479599,,,
65,35.0,,,sr3,0.1,0.05,0.01,1,4,5,20.0,60.0,5,20.0,smoothed_finite_difference_savgol_order_3,failed,SR3.__init__() got an unexpected keyword argument 'threshold',0,20,,0.0009286142885684967,,,
66,35.0,,,sr3,0.1,0.05,0.1,1,4,5,20.0,60.0,5,20.0,smoothed_finite_difference_savgol_order_3,failed,SR3.__init__() got an unexpected keyword argument 'threshold',0,20,,0.0009269081056118011,,,
67,35.0,,,sr3,0.1,0.05,1.0,1,4,5,20.0,60.0,5,20.0,smoothed_finite_difference_savgol_order_3,failed,SR3.__init__() got an unexpected keyword argument 'threshold',0,20,,0.0009349677711725235,,,
68,35.0,,,sr3,0.1,0.05,10.0,1,4,5,20.0,60.0,5,20.0,smoothed_finite_difference_savgol_order_3,failed,SR3.__init__() got an unexpected keyword argument 'threshold',0,20,,0.0009640399366617203,,,
69,35.0,,,sr3,0.1,0.05,0.01,1,4,5,20.0,60.0,9,36.0,smoothed_finite_difference_savgol_order_3,failed,SR3.__init__() got an unexpected keyword argument 'threshold',0,20,,0.0009387638419866562,,,
70,35.0,,,sr3,0.1,0.05,0.1,1,4,5,20.0,60.0,9,36.0,smoothed_finite_difference_savgol_order_3,failed,SR3.__init__() got an unexpected keyword argument 'threshold',0,20,,0.0009259376674890518,,,
71,35.0,,,sr3,0.1,0.05,1.0,1,4,5,20.0,60.0,9,36.0,smoothed_finite_difference_savgol_order_3,failed,SR3.__init__() got an unexpected keyword argument 'threshold',0,20,,0.0009576920419931412,,,
