configuration_index,lowpass_hz,global_zscore_mean,global_zscore_std,stlsq_threshold,degree,n_delays,delay_samples,delay_ms,embedding_span_ms,smooth_window_samples,smooth_window_ms,derivative_method,fit_status,fit_failure_reason,nonzero_terms,possible_terms,term_utilization_percent,fit_runtime_s,feature_names_json,coefficients_json,equations
24,35.0,,,100.0,1,6,2,8.0,40.0,9,36.0,smoothed_finite_difference_savgol_order_3,success,,4,42,9.523809523809524,0.22951345890760422,"[""1"", ""x0"", ""x1"", ""x2"", ""x3"", ""x4"", ""x5""]","[[0.0, 108.66726496580786, -118.82574054821924, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 118.8301433542585, -108.67298551451304]]",(x0)' =  108.667 x0 + -118.826 x1 | (x1)' =  0.000 | (x2)' =  0.000 | (x3)' =  0.000 | (x4)' =  0.000 | (x5)' =  118.830 x4 + -108.673 x5
25,35.0,,,100.0,1,6,5,20.0,100.0,0,0.0,finite_difference,success,,0,42,0.0,0.1588174719363451,"[""1"", ""x0"", ""x1"", ""x2"", ""x3"", ""x4"", ""x5""]","[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",(x0)' =  0.000 | (x1)' =  0.000 | (x2)' =  0.000 | (x3)' =  0.000 | (x4)' =  0.000 | (x5)' =  0.000
26,35.0,,,100.0,1,6,5,20.0,100.0,5,20.0,smoothed_finite_difference_savgol_order_3,success,,0,42,0.0,0.17215730994939804,"[""1"", ""x0"", ""x1"", ""x2"", ""x3"", ""x4"", ""x5""]","[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",(x0)' =  0.000 | (x1)' =  0.000 | (x2)' =  0.000 | (x3)' =  0.000 | (x4)' =  0.000 | (x5)' =  0.000
27,35.0,,,100.0,1,6,5,20.0,100.0,9,36.0,smoothed_finite_difference_savgol_order_3,success,,0,42,0.0,0.17621316388249397,"[""1"", ""x0"", ""x1"", ""x2"", ""x3"", ""x4"", ""x5""]","[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",(x0)' =  0.000 | (x1)' =  0.000 | (x2)' =  0.000 | (x3)' =  0.000 | (x4)' =  0.000 | (x5)' =  0.000
28,35.0,,,100.0,1,8,1,4.0,28.0,0,0.0,finite_difference,success,,22,72,30.555555555555557,0.43924221582710743,"[""1"", ""x0"", ""x1"", ""x2"", ""x3"", ""x4"", ""x5"", ""x6"", ""x7""]","[[0.0, 521.4566586200782, -1061.5488680159324, 906.1001345192703, -472.3232060690826, 106.14752578576339, 0.0, 0.0, 0.0], [0.0, 125.01011467079475, 0.0, -125.01101389019311, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 125.00813870921738, 0.0, -125.00774613326273, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 125.01335493514422, 0.0, -125.01241794006526, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 125.01496458449552, 0.0, -125.01483533336466, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 125.01072360695014, 0.0, -125.01106683980474, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 125.0093975472491, 0.0, -125.00882224943176], [0.0, 0.0, 0.0, 0.0, -106.09113950067466, 472.10953178275474, -905.7846262085243, 1061.3245197992776, -521.3907533691008]]",(x0)' =  521.457 x0 + -1061.549 x1 +  906.100 x2 + -472.323 x3 +  106.148 x4 | (x1)' =  125.010 x0 + -125.011 x2 | (x2)' =  125.008 x1 + -125.008 x3 | (x3)' =  125.013 x2 + -125.012 x4 | (x4)' =  125.015 x3 + -125.015 x5 | (x5)' =  125.011 x4 + -125.011 x6 | (x6)' =  125.009 x5 + -125.009 x7 | (x7)' = -106.091 x3 +  472.110 x4 + -905.785 x5 +  1061.325 x6 + -521.391 x7
29,35.0,,,100.0,1,8,1,4.0,28.0,5,20.0,smoothed_finite_difference_savgol_order_3,success,,22,72,30.555555555555557,0.45547208935022354,"[""1"", ""x0"", ""x1"", ""x2"", ""x3"", ""x4"", ""x5"", ""x6"", ""x7""]","[[0.0, 524.2697737723139, -1070.089903427687, 916.0971892782642, -477.57617023065194, 107.14624926492164, 0.0, 0.0, 0.0], [0.0, 125.01268881308272, 0.0, -125.01373481141678, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 125.00964970985945, 0.0, -125.00925456064202, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 125.01520141888516, 0.0, -125.01411767613801, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 125.01712641894997, 0.0, -125.016881028688, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 125.01307133063435, 0.0, -125.01334861521906, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 125.01218732937714, 0.0, -125.0115319446699], [0.0, 0.0, 0.0, 0.0, -107.08093070560531, 477.3235136866303, -915.7130605585012, 1069.806352863859, -524.1829789566634]]",(x0)' =  524.270 x0 + -1070.090 x1 +  916.097 x2 + -477.576 x3 +  107.146 x4 | (x1)' =  125.013 x0 + -125.014 x2 | (x2)' =  125.010 x1 + -125.009 x3 | (x3)' =  125.015 x2 + -125.014 x4 | (x4)' =  125.017 x3 + -125.017 x5 | (x5)' =  125.013 x4 + -125.013 x6 | (x6)' =  125.012 x5 + -125.012 x7 | (x7)' = -107.081 x3 +  477.324 x4 + -915.713 x5 +  1069.806 x6 + -524.183 x7
30,35.0,,,100.0,1,8,1,4.0,28.0,9,36.0,smoothed_finite_difference_savgol_order_3,success,,21,72,29.166666666666668,0.44019286520779133,"[""1"", ""x0"", ""x1"", ""x2"", ""x3"", ""x4"", ""x5"", ""x6"", ""x7""]","[[0.0, 728.1119084464524, -2046.3022569378243, 2975.236814189411, -2918.148061725156, 1812.0643450601142, -659.7318722554768, 108.752858917697, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 342.70076637218085, -458.3888874262101, 115.26822343761232, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 125.04359675054356, 0.0, -125.03940666398373, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 235.75362044805033, -241.159429176734, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 125.01967780040081, 0.0, -125.01865448878958], [0.0, 0.0, 0.0, 0.0, -111.4086242961722, 506.1353665941618, -976.6630390414898, 1124.874838580341, -542.8616577800396]]",(x0)' =  728.112 x0 + -2046.302 x1 +  2975.237 x2 + -2918.148 x3 +  1812.064 x4 + -659.732 x5 +  108.753 x6 | (x1)' =  0.000 | (x2)' =  342.701 x2 + -458.389 x3 +  115.268 x4 | (x3)' =  125.044 x2 + -125.039 x4 | (x4)' =  235.754 x4 + -241.159 x5 | (x5)' =  0.000 | (x6)' =  125.020 x5 + -125.019 x7 | (x7)' = -111.409 x3 +  506.135 x4 + -976.663 x5 +  1124.875 x6 + -542.862 x7
31,35.0,,,100.0,1,8,2,8.0,56.0,0,0.0,finite_difference,success,,4,72,5.555555555555555,0.31607462652027607,"[""1"", ""x0"", ""x1"", ""x2"", ""x3"", ""x4"", ""x5"", ""x6"", ""x7""]","[[0.0, 105.95011214823867, -117.2630039680598, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 117.2809654438143, -105.97269261305058]]",(x0)' =  105.950 x0 + -117.263 x1 | (x1)' =  0.000 | (x2)' =  0.000 | (x3)' =  0.000 | (x4)' =  0.000 | (x5)' =  0.000 | (x6)' =  0.000 | (x7)' =  117.281 x6 + -105.973 x7
32,35.0,,,100.0,1,8,2,8.0,56.0,5,20.0,smoothed_finite_difference_savgol_order_3,success,,4,72,5.555555555555555,0.3239577915519476,"[""1"", ""x0"", ""x1"", ""x2"", ""x3"", ""x4"", ""x5"", ""x6"", ""x7""]","[[0.0, 106.22636064820458, -117.43058523330484, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 117.44720345246675, -106.24726506583194]]",(x0)' =  106.226 x0 + -117.431 x1 | (x1)' =  0.000 | (x2)' =  0.000 | (x3)' =  0.000 | (x4)' =  0.000 | (x5)' =  0.000 | (x6)' =  0.000 | (x7)' =  117.447 x6 + -106.247 x7
33,35.0,,,100.0,1,8,2,8.0,56.0,9,36.0,smoothed_finite_difference_savgol_order_3,success,,4,72,5.555555555555555,0.3488217741250992,"[""1"", ""x0"", ""x1"", ""x2"", ""x3"", ""x4"", ""x5"", ""x6"", ""x7""]","[[0.0, 108.66737928487683, -118.82209046267047, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 118.82968750318528, -108.67646928762541]]",(x0)' =  108.667 x0 + -118.822 x1 | (x1)' =  0.000 | (x2)' =  0.000 | (x3)' =  0.000 | (x4)' =  0.000 | (x5)' =  0.000 | (x6)' =  0.000 | (x7)' =  118.830 x6 + -108.676 x7
