configuration_index,lowpass_hz,training_lfp_rms_uv,degree,n_delays,delay_samples,delay_ms,embedding_span_ms,smooth_window_samples,smooth_window_ms,derivative_method,nonzero_terms,possible_terms,term_utilization_percent,fit_runtime_s,simulation_attempts,completed_simulations,failed_simulations,completion_fraction,all_held_out_completed,failure_reasons,figure_exists
62,35.0,36.85636440989091,2,6,5,20.0,100.0,5,20.0,smoothed_finite_difference_savgol_order_3,168,168,100.0,1.0183890722692013,9,7,2,0.7777777777777778,False,integration error: model derivative became non-finite,True
63,35.0,36.85636440989091,2,6,5,20.0,100.0,9,36.0,smoothed_finite_difference_savgol_order_3,167,168,99.4047619047619,1.1822495087981224,9,8,1,0.8888888888888888,False,integration error: model derivative became non-finite,True
64,35.0,36.85636440989091,2,8,1,4.0,28.0,0,0.0,finite_difference,360,360,100.0,2.754941502586007,9,0,9,0.0,False,integration error: model derivative became non-finite,True
65,35.0,36.85636440989091,2,8,1,4.0,28.0,5,20.0,smoothed_finite_difference_savgol_order_3,360,360,100.0,2.801785856485367,9,0,9,0.0,False,integration error: model derivative became non-finite,True
66,35.0,36.85636440989091,2,8,1,4.0,28.0,9,36.0,smoothed_finite_difference_savgol_order_3,359,360,99.72222222222223,3.321354767307639,9,3,6,0.3333333333333333,False,integration error: model derivative became non-finite,True
67,35.0,36.85636440989091,2,8,2,8.0,56.0,0,0.0,finite_difference,359,360,99.72222222222223,3.323517421260476,9,9,0,1.0,True,,True
68,35.0,36.85636440989091,2,8,2,8.0,56.0,5,20.0,smoothed_finite_difference_savgol_order_3,357,360,99.16666666666667,3.29676092043519,9,9,0,1.0,True,,True
69,35.0,36.85636440989091,2,8,2,8.0,56.0,9,36.0,smoothed_finite_difference_savgol_order_3,359,360,99.72222222222223,3.3725311551243067,9,9,0,1.0,True,,True
70,35.0,36.85636440989091,2,8,5,20.0,140.0,0,0.0,finite_difference,360,360,100.0,2.797027876600623,9,6,3,0.6666666666666666,False,integration error: model derivative became non-finite,True
71,35.0,36.85636440989091,2,8,5,20.0,140.0,5,20.0,smoothed_finite_difference_savgol_order_3,360,360,100.0,2.78400850109756,9,6,3,0.6666666666666666,False,integration error: model derivative became non-finite,True
72,35.0,36.85636440989091,2,8,5,20.0,140.0,9,36.0,smoothed_finite_difference_savgol_order_3,358,360,99.44444444444444,3.286224152892828,9,5,4,0.5555555555555556,False,integration error: model derivative became non-finite,True
73,35.0,36.85636440989091,3,2,1,4.0,4.0,0,0.0,finite_difference,20,20,100.0,0.7340932954102755,9,9,0,1.0,True,,True
