configuration_index,test_trial_id,simulation_status,failure_reason,requested_duration_s,reached_duration_s,simulation_runtime_s,rhs_evaluations,simulated_samples,simulated_x0_rms_uv,compared_samples,x0_rmse_uv,trajectory_rmse_uv
70,778,success,,14.056000000000001,14.056000000000001,151.10114153008908,34171,3515,28.803628117080702,3515,45.46277143809605,45.437649508428876
70,1088,success,,14.06,14.06,158.05980376247317,37380,3516,29.338785520547482,3516,55.560405837451015,57.3020531806307
70,1244,failed,integration error: model derivative became non-finite,13.948,4.525827899432967,111.42016720119864,24870,0,,0,,
71,2,success,,14.056000000000001,14.056000000000001,148.5894046816975,32854,3515,25.45913308367488,3515,45.749607543618964,45.30584901929644
71,3,success,,14.056000000000001,14.056000000000001,154.72578176949173,33646,3515,44.189167009261126,3515,55.81321195348817,54.463089719288924
71,4,success,,13.948,13.948,180.5441160518676,38388,3488,24.758831920326344,3488,36.88117068320849,40.00121427046404
71,312,failed,integration error: model derivative became non-finite,14.056000000000001,5.846060822495147,124.3169939732179,29238,0,,0,,
71,620,success,,14.056000000000001,14.056000000000001,170.42885300517082,36037,3515,36.31125262330986,3515,54.28516097817235,53.94425151263563
71,622,failed,integration error: model derivative became non-finite,14.056000000000001,6.457938572276288,140.6832017665729,31405,0,,0,,
71,778,success,,14.056000000000001,14.056000000000001,156.0277575980872,35223,3515,31.76823959658883,3515,48.889590609250924,48.910760433366704
71,1088,success,,14.06,14.06,198.02352266013622,37659,3516,29.95849788237198,3516,56.09616237738673,57.333151534013574
71,1244,failed,integration error: model derivative became non-finite,13.948,5.305605651589585,120.74441879615188,25958,0,,0,,
72,2,failed,integration error: model derivative became non-finite,14.056000000000001,8.061890006954917,153.92354122549295,37071,0,,0,,
72,3,failed,integration error: model derivative became non-finite,14.056000000000001,5.889458849951074,128.66493727825582,31021,0,,0,,
72,4,failed,integration error: model derivative became non-finite,13.948,5.626430317776106,130.87906375341117,31646,0,,0,,
