config_key,sweep_id,configuration_index,test_trial_id,simulation_status,failure_reason,requested_duration_s,reached_duration_s,x0_rmse_uv,trajectory_rmse_uv,rhs_evaluations
ce9fa31bb585,raw_grid_deg2357_t20000,15,620,failed,integration error: model derivative became non-finite,14.172,9.746160301737842,,,43703.0
2eebb641be40,raw_grid_deg2357_t20000,16,4,success,,14.028,14.028,31.254341235988942,32.58582532860057,30217.0
2eebb641be40,raw_grid_deg2357_t20000,16,1088,success,,14.14,14.14,49.094779648486984,50.87366565758845,31202.0
2eebb641be40,raw_grid_deg2357_t20000,16,622,success,,14.136000000000001,14.136000000000001,42.94137119159894,44.89837138220174,31771.0
2eebb641be40,raw_grid_deg2357_t20000,16,620,success,,14.136000000000001,14.136000000000001,44.68447284134728,45.818377789662165,29590.0
3b55d869f17d,raw_grid_deg2357_t20000,17,4,success,,14.028,14.028,32.25609010469527,33.53666911012087,29269.0
3b55d869f17d,raw_grid_deg2357_t20000,17,1088,success,,14.14,14.14,50.78887480367535,51.88182873251579,30966.0
3b55d869f17d,raw_grid_deg2357_t20000,17,622,success,,14.136000000000001,14.136000000000001,43.89406386216677,46.291323814136916,31890.0
3b55d869f17d,raw_grid_deg2357_t20000,17,620,success,,14.136000000000001,14.136000000000001,44.06471264832637,45.22613553306757,30042.0
f386a78328ba,raw_grid_deg2357_t20000,18,4,success,,14.028,14.028,29.122793891508934,29.75863907368221,30023.0
f386a78328ba,raw_grid_deg2357_t20000,18,1088,success,,14.14,14.14,47.858375573122416,48.24507057390596,31395.0
f386a78328ba,raw_grid_deg2357_t20000,18,622,success,,14.136000000000001,14.136000000000001,42.72417866103088,43.962593566556194,33003.0
f386a78328ba,raw_grid_deg2357_t20000,18,620,success,,14.136000000000001,14.136000000000001,42.25799408810649,43.02465925684829,30050.0
9abd249dbce3,raw_grid_deg2357_t20000,19,4,failed,integration error: model derivative became non-finite,14.068,9.44347577972973,,,74915.0
