configuration_index,test_trial_id,simulation_status,failure_reason,requested_duration_s,reached_duration_s,simulation_runtime_s,rhs_evaluations,simulated_samples,simulated_x0_rms_uv,compared_samples,x0_rmse_uv,trajectory_rmse_uv
9,1088,success,,14.18,14.18,4.449391894042492,11297,3546,38.95914814357921,3546,60.19046715687412,60.219069181559654
9,1244,success,,14.068,14.068,4.026758141815662,10527,3518,46.5062187930874,3518,59.91055710396027,59.973608682781716
10,2,success,,14.184000000000001,14.184000000000001,18.92538357526064,34777,3547,47.34064979162297,3547,60.379490836511266,60.36901255101074
10,3,success,,14.184000000000001,14.184000000000001,17.030527228489518,31297,3547,40.97596313302402,3547,50.57189569498629,50.5675980553813
10,4,success,,14.076,14.076,21.531647766008973,38537,3520,8.581997780632515,3520,28.320758453828287,28.307405193670526
10,312,success,,14.184000000000001,14.184000000000001,18.64293682575226,34194,3547,24.333513691356067,3547,41.719173781267,41.693732040468404
10,620,success,,14.184000000000001,14.184000000000001,34.66958674788475,63221,3547,4.79859344338954,3547,40.11368760678345,40.10723740614765
10,622,success,,14.184000000000001,14.184000000000001,17.762670386582613,31702,3547,47.87024472083926,3547,60.407327524844504,60.400682537088855
10,778,success,,14.184000000000001,14.184000000000001,19.71278498135507,36288,3547,30.037668102651388,3547,46.95387612292005,46.95358228690397
10,1088,success,,14.188,14.188,19.469308691099286,34688,3548,46.37482150694602,3548,63.90452359691462,63.890468597752374
10,1244,success,,14.076,14.076,17.94312398508191,32997,3520,49.751475449247685,3520,60.665903226393226,60.65355961104713
11,2,success,,14.184000000000001,14.184000000000001,19.144619340077043,34290,3547,46.65203681487898,3547,60.06553679110597,60.054424798277324
11,3,success,,14.184000000000001,14.184000000000001,17.03151921927929,30541,3547,40.49430790307558,3547,51.07646976397771,51.0575057627061
11,4,success,,14.076,14.076,20.473230588249862,36414,3520,8.40783524819128,3520,28.29947976868643,28.290048562492192
11,312,success,,14.184000000000001,14.184000000000001,18.631905931979418,33733,3547,23.942658770787606,3547,41.83310124123137,41.831786414417785
11,620,success,,14.184000000000001,14.184000000000001,34.95229677576572,62777,3547,4.797404060638872,3547,40.18677636065274,40.18220380358561
11,622,success,,14.184000000000001,14.184000000000001,18.309866175055504,32350,3547,47.325746306190055,3547,60.518560587151995,60.49907856664243
11,778,success,,14.184000000000001,14.184000000000001,21.611447994597256,38715,3547,29.764178666089673,3547,46.854428740834514,46.844592722197305
11,1088,success,,14.188,14.188,20.190859219059348,35639,3548,45.823419497890676,3548,64.55755277423572,64.56052481265614
11,1244,success,,14.076,14.076,18.942917221225798,33897,3520,49.513472986297835,3520,61.96151677686893,61.94697200254434
12,2,success,,14.184000000000001,14.184000000000001,17.186270168051124,30762,3547,54.196514926973904,3547,66.5622733304533,66.55019373402814
12,3,success,,14.184000000000001,14.184000000000001,17.579457318410277,31573,3547,48.34170421602833,3547,55.8504031660219,55.84508816149722
12,4,success,,14.076,14.076,25.431520484387875,45414,3520,10.248348339756568,3520,28.991373419397867,28.960956915602296
12,312,success,,14.184000000000001,14.184000000000001,18.079597560688853,33069,3547,27.60517610531263,3547,44.25609932323946,44.23463280220579
12,620,success,,14.184000000000001,14.184000000000001,36.254607206210494,64700,3547,8.718395329833557,3547,40.74639309216879,40.735087840187134
12,622,success,,14.184000000000001,14.184000000000001,17.772136099636555,31232,3547,56.783820435839466,3547,68.72626648274695,68.71669977914281
12,778,success,,14.184000000000001,14.184000000000001,21.071002315729856,38610,3547,39.19879804934488,3547,52.31329456452645,52.31552402092128
12,1088,success,,14.188,14.188,18.39293697848916,32139,3548,55.384726536368326,3548,70.38028733333837,70.3418392988432
12,1244,success,,14.076,14.076,16.864145003259182,30460,3520,63.11888476356888,3520,71.66728506582743,71.66085329635462
13,2,success,,14.172,14.172,20.45685676112771,34477,3544,44.72195149410643,3544,59.58329593543959,59.47553437419557
13,3,success,,14.172,14.172,18.867033500224352,33472,3544,43.29514855949134,3544,52.443140025709035,52.36917831539414
13,4,success,,14.064,14.064,28.642521128058434,52361,3517,14.966418139296879,3517,30.41297861472628,30.408058327913498
13,312,success,,14.172,14.172,18.841757103800774,33936,3544,24.44438627428514,3544,42.92230915286659,42.891537798356936
13,620,success,,14.172,14.172,21.643596567213535,38634,3544,13.52070120475239,3544,41.862958079258284,41.85316843773445
13,622,success,,14.172,14.172,18.725221380591393,33518,3544,42.04608081607586,3544,55.9855302792858,55.91321306870341
13,778,success,,14.172,14.172,19.081784676760435,34553,3544,40.41325070138315,3544,52.53640059578565,52.52461110345856
13,1088,success,,14.176,14.176,17.794735699892044,32016,3545,59.353619098294764,3545,75.61349711385601,75.54204172123848
13,1244,success,,14.064,14.064,18.726375371217728,33693,3517,105.66799665570089,3517,112.29385918137818,112.15281322402372
14,2,success,,14.172,14.172,20.24908489175141,32412,3544,45.284288195265596,3544,58.96571547628737,58.92812067458808
14,3,success,,14.172,14.172,19.729963947087526,31383,3544,44.00411262039733,3544,52.747495009094685,52.690599839792306
14,4,success,,14.064,14.064,31.800822604447603,50714,3517,15.645582013032348,3517,30.904681551852917,30.94315596023886
14,312,success,,14.172,14.172,20.857723692432046,34422,3544,24.834332022739645,3544,43.07248514246116,43.05548700995968
14,620,success,,14.172,14.172,23.918866304680705,38201,3544,14.061644011148067,3544,42.22722034471443,42.19811771760647
14,622,success,,14.172,14.172,20.734579250216484,33527,3544,42.66097815673799,3544,56.27598101844061,56.22787130403727
14,778,success,,14.172,14.172,21.64698920585215,34442,3544,41.11169045660609,3544,52.81123488857129,52.781956187254906
14,1088,success,,14.176,14.176,20.47526748292148,33229,3545,60.76313331226653,3545,77.19158895965542,77.07265192151222
14,1244,success,,14.064,14.064,20.06460326910019,31884,3517,108.45354675769197,3517,115.16487478531681,115.04299408082076
15,2,success,,14.172,14.172,19.747534956783056,32584,3544,58.68904708318151,3544,69.80832747270289,69.67584181534022
15,3,success,,14.172,14.172,19.065680868923664,31020,3544,58.078005243919456,3544,64.76289117183106,64.71996907248285
15,4,success,,14.064,14.064,26.755725666880608,43963,3517,28.288470668753863,3517,39.254525843748446,39.3270949039395
15,312,success,,14.172,14.172,21.409918500110507,34928,3544,33.82614939545971,3544,47.05554140316451,47.064776298633575
15,620,success,,14.172,14.172,22.747303493320942,37057,3544,23.901416446268524,3544,46.11525418964523,46.1050743261083
15,622,success,,14.172,14.172,19.219435565173626,31906,3544,55.632239605446706,3544,67.52606528471144,67.49379946871713
15,778,success,,14.172,14.172,20.56445710733533,33501,3544,55.3000316161892,3544,64.81945355620456,64.75701170801202
15,1088,success,,14.176,14.176,18.684034356847405,30516,3545,87.30796505005497,3545,97.85783411306772,97.71668530716993
15,1244,success,,14.064,14.064,19.41762993298471,31238,3517,159.95097314967524,3517,164.38477966578142,164.22073128616378
16,2,success,,14.136000000000001,14.136000000000001,8.799487689509988,15821,3535,46.13024912810445,3535,59.71096636770047,57.72894217087817
16,3,success,,14.136000000000001,14.136000000000001,10.541352255269885,19065,3535,41.762433211090226,3535,50.56506586711561,49.48334527709519
16,4,success,,14.028,14.028,10.337970035150647,18378,3508,20.52198566787428,3508,33.992458217685034,33.49059231430951
16,312,success,,14.136000000000001,14.136000000000001,9.130484787747264,16118,3535,56.17892879179201,3535,63.530332945834964,61.328368236282344
16,620,success,,14.136000000000001,14.136000000000001,10.87071212567389,19344,3535,25.077915038401425,3535,48.48900272520153,47.671056452305635
16,622,success,,14.136000000000001,14.136000000000001,15.69257296808064,28601,3535,22.70914599600337,3535,44.905721312436704,47.06782663829683
16,778,success,,14.136000000000001,14.136000000000001,10.574231157079339,18966,3535,42.71545850670639,3535,55.90705689089592,54.69702409357645
16,1088,success,,14.14,14.14,12.07163505256176,21831,3536,29.372213851042012,3536,55.346835190317165,55.075313888133216
16,1244,success,,14.028,14.028,13.966429326683283,25343,3508,66.81467104407132,3508,75.92583688110479,80.27183426416096
17,2,success,,14.136000000000001,14.136000000000001,8.828151369467378,15743,3535,46.16019486857873,3535,61.87284813206969,59.93888807839428
17,3,success,,14.136000000000001,14.136000000000001,10.757744191214442,19355,3535,41.784426443945286,3535,50.32957905884934,49.47631142362209
17,4,success,,14.028,14.028,10.76554873213172,19259,3508,20.602047623802857,3508,34.2839117196661,33.90181011028576
17,312,success,,14.136000000000001,14.136000000000001,9.198929252102971,16582,3535,56.297136881185544,3535,63.49940307551047,61.39361061015699
17,620,success,,14.136000000000001,14.136000000000001,10.790554223582149,19129,3535,25.166143285424223,3535,48.36145969867373,47.83954580258709
17,622,success,,14.136000000000001,14.136000000000001,16.736128091812134,30095,3535,22.726219455322195,3535,44.04377686213492,46.17006733688625
17,778,success,,14.136000000000001,14.136000000000001,10.522673014551401,18912,3535,42.83957319089865,3535,55.255615454757645,54.239706429965175
17,1088,success,,14.14,14.14,12.532111870124936,22108,3536,29.52863387264413,3536,55.634955521959455,55.4978240335319
17,1244,success,,14.028,14.028,14.050368608906865,25499,3508,66.89164707509967,3508,76.16571168039604,80.11571957047663
18,2,success,,14.136000000000001,14.136000000000001,9.588009629398584,17118,3535,46.59466626169361,3535,60.61942738002709,59.38347802119766
18,3,success,,14.136000000000001,14.136000000000001,10.71462152339518,19267,3535,42.75705462751892,3535,50.77695658235353,49.66846811657173
18,4,success,,14.028,14.028,11.601790240034461,19893,3508,21.930964581621666,3508,35.37985196138959,34.910653643993975
18,312,success,,14.136000000000001,14.136000000000001,9.535522745922208,17092,3535,58.24826962418614,3535,66.62329083821946,64.55597026693071
18,620,success,,14.136000000000001,14.136000000000001,11.823954476043582,19930,3535,26.149409693697102,3535,48.767722330083636,48.25584902057841
18,622,success,,14.136000000000001,14.136000000000001,18.44712753035128,31520,3535,22.37302982520246,3535,43.871382606642584,45.700546685739795
18,778,success,,14.136000000000001,14.136000000000001,10.794350396841764,19425,3535,44.03955592581007,3535,56.91301940882416,55.79820141950429
