case,n_train,replicate,seed,nonzero_terms,n_completed,n_test,completed_trials,train_ids,psd_similarity,x0_correlation,collapse_std_ratio,x0_rmse
nd2,20,0,20000,4,9,9,0;1;2;3;4;5;6;7;8,1398;1;776;775;311;1086;310;156;930;621;777;158;467;931;314;157;155;465;933;1085,0.12782969846638134,0.03926791631660587,1.089649424231219,49.98705063748503
nd2,20,1,20001,4,9,9,0;1;2;3;4;5;6;7;8,1398;1;0;776;775;311;310;156;930;777;158;467;931;313;932;314;157;779;465;1085,0.1287307863047974,0.016326680756887858,1.1279041308174937,51.55413970308501
nd2,20,2,20002,4,9,9,0;1;2;3;4;5;6;7;8,1398;1;0;934;775;1086;156;930;777;158;467;931;314;157;155;779;933;1087;466;1085,0.12793081270850915,0.009064719606475704,1.091461000619064,48.658313178403084
nd2,20,3,20003,4,9,9,0;1;2;3;4;5;6;7;8,0;776;934;311;1086;156;930;621;777;158;931;313;314;155;469;779;933;1087;466;1085,0.1323987269441428,-0.0027719006438925546,1.008062668010195,48.183954086884405
nd2,20,4,20004,4,9,9,0;1;2;3;4;5;6;7;8,1398;0;934;775;311;1086;310;156;930;158;467;931;313;932;314;157;155;469;466;1085,0.1278345625171257,0.030165680283244775,1.1317018511709744,51.10806771650139
nd2,24,0,24000,4,9,9,0;1;2;3;4;5;6;7;8,1;934;775;311;1086;310;156;930;621;777;158;467;931;932;314;157;155;469;779;465;933;1087;466;1085,0.1291571135313896,-0.016039273723760707,1.1088809446177978,51.48532592014615
nd2,24,1,24001,4,9,9,0;1;2;3;4;5;6;7;8,1398;1;0;934;775;310;930;621;777;158;467;931;313;932;314;157;155;469;779;465;933;1087;466;1085,0.12886784701101534,-0.011658613611905688,1.0837974504819392,50.87807288633475
nd2,24,2,24002,4,9,9,0;1;2;3;4;5;6;7;8,1398;1;0;934;775;311;310;156;930;621;777;158;467;931;313;932;314;157;155;469;465;933;1087;1085,0.1278690986980549,0.016888533042460064,1.1248140114201353,49.47740253163951
nd2,24,3,24003,4,9,9,0;1;2;3;4;5;6;7;8,1398;1;0;776;934;775;311;310;156;621;777;158;467;931;313;314;157;155;469;779;465;1087;466;1085,0.12792404508454347,-0.004277299570821723,1.114239694906237,51.75807724331516
nd2,24,4,24004,4,9,9,0;1;2;3;4;5;6;7;8,1398;1;0;776;934;775;311;310;156;930;621;777;158;467;931;313;932;314;157;155;779;933;1087;466,0.1290975269520706,-0.016297713927480886,1.111904561396834,51.640608880987934
nd2,28,0,28000,6,9,9,0;1;2;3;4;5;6;7;8,1398;1;0;776;934;775;311;1086;310;156;930;621;777;158;467;931;313;932;314;157;155;469;779;465;933;1087;466;1085,0.13422679001332422,0.014257970692429662,0.01853261114763646,38.88683895825515
