configuration_index,degree,lowpass_hz,n_delays,delay_samples,smooth_window_samples,alpha,threshold,max_iter,trial_id,completed,failure_reason,reached_horizon_s,trajectory_rmse,x0_correlation,max_amplitude_ratio,collapse_std_ratio,psd_similarity,distribution_ks
46,3,35.0,4,1,0,0.0,1.0,20,622,True,,2.0,1.3767545566193145,-0.0222363415507062,0.7491109323444464,0.7223771290083426,0.011544558131884,0.0958083832335329
46,3,35.0,4,1,0,0.0,1.0,150,622,True,,2.0,1.3767545566193145,-0.0222363415507062,0.7491109323444464,0.7223771290083426,0.011544558131884,0.0958083832335329
46,3,35.0,4,1,0,0.05,1.0,20,620,True,,2.0,1.0063693942479346,-0.0157972450194125,0.2944005390788773,0.3630310937403674,0.0039708901126761,0.437125748502994
46,3,35.0,4,1,0,0.05,1.0,150,620,True,,2.0,1.0063693942479346,-0.0157972450194125,0.2944005390788773,0.3630310937403674,0.0039708901126761,0.437125748502994
46,3,35.0,4,1,0,0.0,1.0,20,620,True,,2.0,0.9973039828806703,-0.0136311855288546,0.2848105669884461,0.334882777945505,0.0050691782823379,0.4451097804391217
46,3,35.0,4,1,0,0.0,1.0,150,620,True,,2.0,0.9973039828806703,-0.0136311855288546,0.2848105669884461,0.334882777945505,0.0050691782823379,0.4451097804391217
46,3,35.0,4,1,0,0.05,1.0,20,2,True,,2.0,1.566169821563256,-0.035063805978433,0.7911851895512682,0.699155315144048,0.0138290012870843,0.1157684630738523
46,3,35.0,4,1,0,0.05,1.0,150,2,True,,2.0,1.566169821563256,-0.035063805978433,0.7911851895512682,0.699155315144048,0.0138290012870843,0.1157684630738523
46,3,35.0,4,1,0,0.0,1.0,20,2,True,,2.0,1.521714772009358,-0.0411622025329066,0.7787712495584285,0.5936746464579591,0.0127386603912349,0.1516966067864271
46,3,35.0,4,1,0,0.0,1.0,150,2,True,,2.0,1.521714772009358,-0.0411622025329066,0.7787712495584285,0.5936746464579591,0.0127386603912349,0.1516966067864271
46,3,35.0,4,1,0,0.05,1.0,20,3,True,,2.0,1.0521263135697383,0.1268480235350253,0.8795142589215988,1.2226118597183309,0.170001174592695,0.2115768463073852
46,3,35.0,4,1,0,0.05,1.0,150,3,True,,2.0,1.0521263135697383,0.1268480235350253,0.8795142589215988,1.2226118597183309,0.170001174592695,0.2115768463073852
