label,lead_s,skill,n_forecasts
delay nd4,1.8840000000000001,-0.18747764394238725,112
delay nd4,1.8880000000000001,-0.1606632967066194,112
delay nd4,1.8920000000000001,-0.10774851179034463,112
delay nd4,1.8960000000000001,-0.05022440230868838,112
delay nd4,1.9000000000000001,-0.005304440830001537,112
delay nd4,1.9040000000000001,0.01852287277464787,112
delay nd4,1.9080000000000001,0.01894337082088218,112
delay nd4,1.9120000000000001,0.0006479590514940356,112
delay nd4,1.9160000000000001,-0.02355748670610869,112
delay nd4,1.92,-0.038069336467910726,112
delay nd4,1.924,-0.03435002668963853,112
delay nd4,1.928,-0.017316856901047468,112
delay nd4,1.932,0.00011073136440513373,112
delay nd4,1.936,0.008341892287768306,112
delay nd4,1.94,0.006674748793759432,112
delay nd4,1.944,0.001884126575437605,112
delay nd4,1.948,0.003935165824088723,112
delay nd4,1.952,0.021883806824853726,112
delay nd4,1.956,0.05866262893415104,112
delay nd4,1.96,0.1048632601764079,112
delay nd4,1.964,0.13989672494570274,112
delay nd4,1.968,0.14343740368382593,112
delay nd4,1.972,0.11394014353733531,112
delay nd4,1.976,0.07790478462630313,112
delay nd4,1.98,0.06565999963581648,112
delay nd4,1.984,0.07907026175364898,112
delay nd4,1.988,0.09401575768241235,112
delay nd4,1.992,0.08636030888206409,112
delay nd4,1.996,0.05703699998125996,112
delay nd4,2.0,0.03209930998572713,112
persistence,0.0,1.0,112
persistence,0.004,0.974952294162171,112
persistence,0.008,0.9163129948527796,112
persistence,0.012,0.8442265501122159,112
persistence,0.016,0.7683139851251447,112
persistence,0.02,0.6876127232225395,112
persistence,0.024,0.5960620070319036,112
persistence,0.028,0.49212178933726947,112
persistence,0.032,0.38695843430034654,112
persistence,0.036000000000000004,0.299656015307216,112
persistence,0.04,0.24054295035282827,112
persistence,0.044,0.20498000509795575,112
persistence,0.048,0.1825391937992434,112
persistence,0.052000000000000005,0.16709258352087109,112
persistence,0.056,0.1610258416426608,112
persistence,0.06,0.17333277234055458,112
persistence,0.064,0.2120210699974825,112
persistence,0.068,0.27412315660632774,112
persistence,0.07200000000000001,0.34412086999824665,112
persistence,0.076,0.405955271657749,112
persistence,0.08,0.45147121926566997,112
persistence,0.084,0.4795889196797608,112
persistence,0.088,0.49373299475124627,112
persistence,0.092,0.49694682754182723,112
persistence,0.096,0.48897294871468294,112
persistence,0.1,0.4696670768174628,112
persistence,0.10400000000000001,0.4396456592973772,112
persistence,0.108,0.3976390604437896,112
persistence,0.112,0.343636861510945,112
persistence,0.116,0.2836397521947188,112
persistence,0.12,0.228414815610196,112
persistence,0.124,0.18839661661262389,112
persistence,0.128,0.16947856689023996,112
persistence,0.132,0.17108258055549885,112
persistence,0.136,0.18516765277804317,112
persistence,0.14,0.19868083586595228,112
persistence,0.14400000000000002,0.20444136315444775,112
persistence,0.148,0.206502504974125,112
persistence,0.152,0.21198812711030238,112
persistence,0.156,0.2236174033618703,112
persistence,0.16,0.23703182191501526,112
persistence,0.164,0.24243596776024887,112
persistence,0.168,0.23266802251851687,112
