configuration_index,lowpass_hz,degree,n_delays,delay_samples,delay_ms,embedding_span_ms,smooth_window_samples,smooth_window_ms,derivative_method,nonzero_terms,possible_terms,term_utilization_percent,fit_runtime_s,simulation_attempts,completed_simulations,failed_simulations,completion_fraction,all_held_out_completed,failure_reasons,figure_exists
68,35.0,2,8,2,8.0,56.0,5,20.0,smoothed_finite_difference_savgol_order_3,332,360,92.22222222222223,3.4563925014808774,9,8,1,0.8888888888888888,False,integration error: model derivative became non-finite,True
69,35.0,2,8,2,8.0,56.0,9,36.0,smoothed_finite_difference_savgol_order_3,332,360,92.22222222222223,3.889664643444121,9,0,9,0.0,False,integration error: model derivative became non-finite,True
70,35.0,2,8,5,20.0,140.0,0,0.0,finite_difference,337,360,93.61111111111111,3.9792203968390822,9,6,3,0.6666666666666666,False,integration error: model derivative became non-finite,True
71,35.0,2,8,5,20.0,140.0,5,20.0,smoothed_finite_difference_savgol_order_3,336,360,93.33333333333333,3.963543073274195,9,6,3,0.6666666666666666,False,integration error: model derivative became non-finite,True
72,35.0,2,8,5,20.0,140.0,9,36.0,smoothed_finite_difference_savgol_order_3,335,360,93.05555555555556,3.9186408054083586,9,0,9,0.0,False,integration error: model derivative became non-finite,True
73,35.0,3,2,1,4.0,4.0,0,0.0,finite_difference,20,20,100.0,0.7014211621135473,9,9,0,1.0,True,,True
74,35.0,3,2,1,4.0,4.0,5,20.0,smoothed_finite_difference_savgol_order_3,20,20,100.0,0.20578164607286453,9,9,0,1.0,True,,True
75,35.0,3,2,1,4.0,4.0,9,36.0,smoothed_finite_difference_savgol_order_3,20,20,100.0,0.20544882118701935,9,9,0,1.0,True,,True
76,35.0,3,2,2,8.0,8.0,0,0.0,finite_difference,20,20,100.0,0.19243965484201908,9,9,0,1.0,True,,True
77,35.0,3,2,2,8.0,8.0,5,20.0,smoothed_finite_difference_savgol_order_3,20,20,100.0,0.19957555085420609,9,9,0,1.0,True,,True
78,35.0,3,2,2,8.0,8.0,9,36.0,smoothed_finite_difference_savgol_order_3,20,20,100.0,0.2048556562513113,9,9,0,1.0,True,,True
79,35.0,3,2,5,20.0,20.0,0,0.0,finite_difference,19,20,95.0,0.2119444627314806,9,9,0,1.0,True,,True
80,35.0,3,2,5,20.0,20.0,5,20.0,smoothed_finite_difference_savgol_order_3,19,20,95.0,0.21596802957355976,9,9,0,1.0,True,,True
81,35.0,3,2,5,20.0,20.0,9,36.0,smoothed_finite_difference_savgol_order_3,20,20,100.0,0.2039031833410263,9,9,0,1.0,True,,True
82,35.0,3,4,1,4.0,12.0,0,0.0,finite_difference,135,140,96.42857142857143,1.7707208320498466,9,9,0,1.0,True,,True
83,35.0,3,4,1,4.0,12.0,5,20.0,smoothed_finite_difference_savgol_order_3,136,140,97.14285714285714,1.7001373507082462,9,9,0,1.0,True,,True
84,35.0,3,4,1,4.0,12.0,9,36.0,smoothed_finite_difference_savgol_order_3,135,140,96.42857142857143,1.4807614628225565,9,9,0,1.0,True,,True
85,35.0,3,4,2,8.0,24.0,0,0.0,finite_difference,136,140,97.14285714285714,1.4721907321363688,9,8,1,0.8888888888888888,False,integration error: model derivative became non-finite,True
86,35.0,3,4,2,8.0,24.0,5,20.0,smoothed_finite_difference_savgol_order_3,137,140,97.85714285714286,1.5078667849302292,9,8,1,0.8888888888888888,False,integration error: model derivative became non-finite,True
87,35.0,3,4,2,8.0,24.0,9,36.0,smoothed_finite_difference_savgol_order_3,135,140,96.42857142857143,1.4466551393270493,9,0,9,0.0,False,integration error: model derivative became non-finite,True
