lowpass_hz,degree,n_delays,smooth_window_samples,configuration_spacing_1,configuration_spacing_2,configuration_spacing_5,coefficient_count,relative_deviation_spacing_1,relative_deviation_spacing_2,relative_deviation_spacing_5,relative_rms_variability,mean_pairwise_cosine_similarity,minimum_pairwise_cosine_similarity
35.0,2,2,5,38,41,44,12,0.8658827595388043,0.11555692648529702,0.7558328004347132,0.6669306757423004,0.8680935703809401,0.7685533302550517
35.0,2,2,9,39,42,45,12,0.8552452681178434,0.1127777534778573,0.7440000237619275,0.657697834793259,0.9163304828810358,0.8498632938382502
35.0,2,4,0,46,49,52,60,1.0815665808394257,0.23479598403690044,0.8616709550843897,0.8098132002185413,0.8138224326038229,0.6810298097769528
35.0,2,4,5,47,50,53,60,1.0808331552739494,0.23479540466998935,0.8613017918670801,0.8093557043037439,0.8154221751317593,0.6837989905898392
35.0,2,4,9,48,51,54,60,1.0596965967686125,0.22237941836562594,0.8519957951761238,0.795467643991761,0.8452534265787185,0.7355160985307111
35.0,2,6,0,55,58,61,168,1.4390570642740421,0.5038350066217587,0.9481147318258629,1.0366060796078391,0.7071865497628965,0.47959440768565276
35.0,2,6,5,56,59,62,168,1.4813372864460816,0.5489442068922256,0.9476530713001926,1.0636017804361215,0.6909147050362795,0.46293675717941446
35.0,2,6,9,57,60,63,168,1.410407285430105,0.4760024514889055,0.9471448916993958,1.01864460444423,0.7239559446727243,0.5143119894074074
35.0,2,8,0,64,67,70,360,1.6857099631437784,0.7077178927930826,0.9837057906831769,1.198632523370597,0.5846283927836695,0.2727871926025155
35.0,2,8,5,65,68,71,360,1.6982403682466465,0.7180854905000331,0.9852667348195217,1.206982139988147,0.5808392922902764,0.26739724699508777
35.0,2,8,9,66,69,72,360,1.623412698376017,0.6432332146870388,0.9850901509024823,1.1575290296043261,0.5943408012860454,0.29936711136244415
35.0,3,2,0,73,76,79,20,0.8695824473776911,0.11450694600733505,0.7575653621560514,0.6691264831629196,0.9694586345701338,0.9463405716954629
35.0,3,2,5,74,77,80,20,0.8682761203817341,0.11434532845051446,0.7563656766823177,0.6680986235147005,0.9702269159333746,0.9477797650435834
35.0,3,2,9,75,78,81,20,0.8565179304698647,0.11569259623224337,0.7460079991887042,0.6591751605587269,0.9671183935558503,0.9470266321353543
35.0,3,4,0,82,85,88,140,1.0837284877603512,0.23838825179163484,0.863035559363839,0.8116088488309426,0.8391645447324049,0.7259472310398499
35.0,3,4,5,83,86,89,140,1.0818056681650778,0.23700419441280832,0.8624193014840007,0.8103993960625231,0.838687595430155,0.7259185549469342
35.0,3,4,9,84,87,90,140,1.0637790312565691,0.2267170237322873,0.8534683288423289,0.7982135521542485,0.8566750947005389,0.7537246453265104
35.0,3,6,0,91,94,97,504,1.4417349691063626,0.5045125794949313,0.95026616282281,1.0386110026085704,0.707101480309085,0.4772535654785346
35.0,3,6,5,92,95,98,504,1.4427946535486098,0.5047060296267922,0.9508345308806319,1.0393060014203526,0.7074852114808362,0.4783156664102417
35.0,3,6,9,93,96,99,504,1.4166984919682126,0.4785686303197796,0.9495122193539441,1.02268209556597,0.7254550494495824,0.5141098392693864
35.0,3,8,0,100,103,106,1320,1.6882985346555748,0.7093689952286341,0.9846876339000923,1.2004396486104034,0.5876580134182049,0.27182908620298785
35.0,3,8,5,101,104,107,1320,1.7008399673513883,0.7197670492027108,0.9862063498018727,1.2087906027716826,0.583168661434125,0.26550714057171754
35.0,3,8,9,102,105,108,1320,1.636455375918342,0.6542397186343795,0.9862168140553679,1.165995913534342,0.5946150343823651,0.2959309103651815
80.0,1,2,0,109,112,115,6,0.9147569279589907,0.1572256570506751,0.7575727720972761,0.6917168615137116,0.9826772460355367,0.9687972512808541
80.0,1,2,5,110,113,116,6,0.912253714317178,0.14055727848175323,0.7717513406269169,0.694637392116474,0.9825956796572722,0.969020071604977
80.0,1,2,9,111,114,117,6,0.8722390466106947,0.11431012041079283,0.7579434768530668,0.6704093456401045,0.984403549871408,0.9730892539389673
80.0,1,4,0,118,121,124,20,1.1108403620038592,0.3622035012940529,0.7714933406115627,0.8083645342736828,0.9118628998826526,0.8537705277730746
80.0,1,4,5,119,122,125,20,1.1438745130834491,0.3394691659943502,0.8156241321835115,0.8344521039466363,0.9057460173194357,0.8260622946790414
80.0,1,4,9,120,123,126,20,0.9855402403352801,0.18817834103441106,0.8151143250333601,0.746349340954394,0.91482845116908,0.8490120830005707
80.0,1,6,0,127,130,133,42,1.3485267959517875,0.568418849783899,0.8178838341873862,0.9679115790220207,0.7972482655978711,0.6932477288900475
80.0,1,6,5,128,131,134,42,1.4907739548433014,0.6255203517187417,0.8854678749394809,1.0642268010788107,0.7649344028908754,0.6012628258979827
80.0,1,6,9,129,132,135,42,1.4116834219662446,0.5843022844447898,0.8711981019479577,1.015421977357107,0.75185973169708,0.6270871504274197
80.0,1,8,0,136,139,142,72,1.5369611766261593,0.7079892660636884,0.8623460089363646,1.0965307562863806,0.6982844603997805,0.5542021788542129
80.0,1,8,5,137,140,143,72,1.74766255110103,0.8180277307284078,0.9414466784115917,1.239598807283207,0.6294620664958223,0.4086911198716683
80.0,1,8,9,138,141,144,72,1.5933933737655248,0.7508861225894985,0.8963474267776662,1.141077140563295,0.6134693057938138,0.5000077307352263
80.0,2,2,0,145,148,151,12,0.8855121825705154,0.19075831456139067,0.7489841500915342,0.6786009669762828,0.8089772834335879,0.6845698995152131
80.0,2,2,5,146,149,152,12,0.8893442560990165,0.1687223122060254,0.76187681264915,0.6830950890724972,0.8256843145254935,0.7077564615608167
80.0,2,2,9,147,150,153,12,0.8627460375068774,0.11927214395215693,0.750873254605075,0.6639194765526867,0.8751878280287567,0.7824579115702242
80.0,2,4,0,154,157,160,60,1.0613949636996647,0.39679012478369097,0.7533643353435632,0.7856121803749647,0.7790674271877945,0.684380814778278
80.0,2,4,5,155,158,161,60,1.1116519577733595,0.36584996298300393,0.7993072615520819,0.8182315012688232,0.7971254826908357,0.669272828922325
80.0,2,4,9,156,159,162,60,0.9779475240398119,0.19043213908329854,0.8056609974718555,0.7397601868666143,0.8679039758821253,0.7648706445356852
80.0,2,6,0,163,166,169,168,1.3145778350980517,0.5784801796683225,0.8123001396985735,0.9526429411125131,0.6727154196094101,0.5723151477699335
80.0,2,6,5,164,167,170,168,1.4692849093075542,0.6295958819218478,0.8774826690895923,1.0528002269826966,0.6762701693286743,0.5138457318551772
80.0,2,6,9,165,168,171,168,1.4135355707332757,0.5932104974697423,0.8648982598872565,1.0162070825693865,0.739695124794783,0.6129339356482006
80.0,2,8,0,172,175,178,360,1.5138911754621074,0.7086342054304163,0.8566507718376012,1.0844168130287044,0.5926572897093706,0.45179569751527715
80.0,2,8,5,173,176,179,360,1.735631543694038,0.818047397806914,0.936805703295353,1.232777801856592,0.5512924657045665,0.34479233718089713
80.0,2,8,9,174,177,180,360,1.5979752444757878,0.7568580397550871,0.8933128455395984,1.143731730536117,0.6027405084079853,0.4898120304308408
80.0,3,2,0,181,184,187,20,0.8998801411819021,0.19014445337477925,0.7661140796160962,0.6911029746303542,0.7779705516076216,0.6605877545355433
80.0,3,2,5,182,185,188,20,0.897765578807404,0.1789917878874837,0.7723728323212822,0.691515458185993,0.8037131090547849,0.6960523280046355
80.0,3,2,9,183,186,189,20,0.8656142063924496,0.11735749656485381,0.7506522662762745,0.6649660545657216,0.9717811236201218,0.9504727878408484
80.0,3,4,0,190,193,196,140,1.0744043959360925,0.3971063148633745,0.7591706650812939,0.7933848015583073,0.7786239654751063,0.687864705756525
80.0,3,4,5,191,194,197,140,1.1187115833364747,0.36733191164854295,0.8037155615719167,0.8230850591766398,0.8026884706626127,0.6915620952411028
80.0,3,4,9,192,195,198,140,0.97582306480132,0.18569706345661866,0.808490099141262,0.739452566336318,0.8813014721543827,0.7921700892113979
80.0,3,6,0,199,202,205,504,1.25825577789411,0.5410279884848792,0.8010354939885076,0.9160743691712149,0.6972951938604792,0.6015252339184293
80.0,3,6,5,200,203,206,504,1.4749662496119937,0.633286061877796,0.8813597595235113,1.057256149878937,0.6731080384399272,0.5153280324729441
80.0,3,6,9,201,204,207,504,1.410268481395171,0.5889020419639527,0.8678540574780086,1.01469756902028,0.743482251294289,0.6201100179286329
80.0,3,8,0,208,211,214,1320,1.5179752944923481,0.7104321554623128,0.8610306592450615,1.0878628342402892,0.5870754230219193,0.44541346926821557
80.0,3,8,5,209,212,215,1320,1.7416767677464429,0.8223049214671081,0.9399626650816738,1.2373564777277086,0.5414479945481477,0.3386723422812019
80.0,3,8,9,210,213,216,1320,1.5754379341817555,0.7421434179701162,0.892510031356637,1.1298017072872373,0.6081472101002848,0.5045623725678036
