lead_s,skill,persistence,amplitude_ratio,growth_factor
0.64,-0.0297895,-0.152766,2.05855e-08,0.00217339
0.644,-0.0477133,-0.133799,1.92669e-08,0.00217339
0.648,-0.0354821,-0.11207,1.81547e-08,0.00217339
0.652,-0.0536134,-0.094499,1.84674e-08,0.00217339
0.656,-0.0376362,-0.0886325,1.81591e-08,0.00217339
0.66,-0.0498079,-0.0975961,1.78304e-08,0.00217339
0.664,-0.0542793,-0.116822,1.83341e-08,0.00217339
0.668,-0.0538911,-0.136704,1.7406e-08,0.00217339
0.672,-0.0391305,-0.149709,1.67398e-08,0.00217339
0.676,-0.0232777,-0.154006,1.68293e-08,0.00217339
0.68,-0.0236238,-0.151412,1.70874e-08,0.00217339
0.684,-0.0220852,-0.144733,1.71722e-08,0.00217339
0.688,-0.0290336,-0.136936,1.70132e-08,0.00217339
0.692,-0.0292704,-0.130773,1.72301e-08,0.00217339
0.696,-0.0306564,-0.127914,1.75788e-08,0.00217339
0.7,-0.0335903,-0.128323,1.77045e-08,0.00217339
0.704,-0.0307949,-0.130374,1.77619e-08,0.00217339
0.708,-0.0599475,-0.131929,1.7532e-08,0.00217339
0.712,-0.0783564,-0.132353,1.65799e-08,0.00217339
0.716,-0.0740515,-0.133735,1.54272e-08,0.00217339
0.72,-0.0657496,-0.139398,1.47821e-08,0.00217339
0.724,-0.0716443,-0.1513,1.48724e-08,0.00217339
0.728,-0.0733245,-0.168766,1.53003e-08,0.00217339
0.732,-0.0662956,-0.187964,1.54439e-08,0.00217339
0.736,-0.0598293,-0.201595,1.5872e-08,0.00217339
0.74,-0.0487004,-0.202418,1.58171e-08,0.00217339
0.744,-0.0166612,-0.190361,1.49016e-08,0.00217339
0.748,0.00914573,-0.171506,1.40137e-08,0.00217339
0.752,-0.0110351,-0.150956,1.33448e-08,0.00217339
0.756,-0.00489557,-0.131461,1.28141e-08,0.00217339
0.76,0.000628446,-0.116191,1.28362e-08,0.00217339
0.764,0.00275714,-0.109526,1.28089e-08,0.00217339
0.768,0.00285641,-0.114711,1.22082e-08,0.00217339
0.772,0.0148985,-0.13167,1.16381e-08,0.00217339
0.776,0.0316515,-0.156877,1.1114e-08,0.00217339
0.78,0.0405084,-0.184402,9.82798e-09,0.00217339
0.784,0.00690387,-0.20725,8.19109e-09,0.00217339
0.788,-0.00262401,-0.21937,8.26405e-09,0.00217339
0.792,-0.0214078,-0.218738,8.26152e-09,0.00217339
0.796,-0.0497004,-0.209102,8.2289e-09,0.00217339
0.8,-0.0807763,-0.197778,8.21325e-09,0.00217339
0.804,-0.055779,-0.19207,7.12341e-09,0.00217339
0.808,-0.0514336,-0.196513,5.80631e-09,0.00217339
0.812,-0.0969566,-0.210369,4.07612e-09,0.00217339
0.816,nan,-0.226895,3.64771e-20,0.00217339
0.82,nan,-0.236629,3.58664e-20,0.00217339
0.824,nan,-0.232727,3.52902e-20,0.00217339
0.828,nan,-0.214414,3.47984e-20,0.00217339
0.832,nan,-0.187754,3.45278e-20,0.00217339
0.836,nan,-0.162364,3.48212e-20,0.00217339
0.84,nan,-0.145363,3.58347e-20,0.00217339
0.844,nan,-0.138553,3.70037e-20,0.00217339
0.848,nan,-0.139982,3.73896e-20,0.00217339
0.852,nan,-0.147598,3.69914e-20,0.00217339
0.856,nan,-0.160669,3.67185e-20,0.00217339
0.86,nan,-0.177281,3.70551e-20,0.00217339
0.864,nan,-0.192064,3.76513e-20,0.00217339
0.868,nan,-0.197944,3.79453e-20,0.00217339
0.872,nan,-0.191156,3.78724e-20,0.00217339
0.876,nan,-0.173146,3.77336e-20,0.00217339
0.88,nan,-0.149488,3.77324e-20,0.00217339
0.884,nan,-0.128912,3.79206e-20,0.00217339
0.888,nan,-0.120297,3.82428e-20,0.00217339
0.892,nan,-0.127967,3.84466e-20,0.00217339
0.896,nan,-0.148935,3.81709e-20,0.00217339
0.9,nan,-0.174989,3.73406e-20,0.00217339
0.904,nan,-0.198549,3.62823e-20,0.00217339
0.908,nan,-0.216077,3.53468e-20,0.00217339
0.912,nan,-0.227607,3.4701e-20,0.00217339
0.916,nan,-0.235461,3.44502e-20,0.00217339
0.92,nan,-0.242263,3.46731e-20,0.00217339
0.924,nan,-0.248555,3.52849e-20,0.00217339
0.928,nan,-0.252353,3.60058e-20,0.00217339
0.932,nan,-0.251411,3.65544e-20,0.00217339
0.936,nan,-0.245911,3.68876e-20,0.00217339
0.94,nan,-0.238342,3.71928e-20,0.00217339
0.944,nan,-0.230319,3.75559e-20,0.00217339
0.948,nan,-0.220635,3.77372e-20,0.00217339
0.952,nan,-0.207727,3.74678e-20,0.00217339
0.956,nan,-0.192749,3.68543e-20,0.00217339
0.96,nan,-0.178446,3.62844e-20,0.00217339
0.964,nan,-0.166237,3.60948e-20,0.00217339
0.968,nan,-0.155176,3.63915e-20,0.00217339
0.972,nan,-0.143439,3.7017e-20,0.00217339
0.976,nan,-0.131639,3.77117e-20,0.00217339
0.98,nan,-0.12451,3.83778e-20,0.00217339
0.984,nan,-0.127809,3.90074e-20,0.00217339
0.988,nan,-0.143511,3.94049e-20,0.00217339
0.992,nan,-0.167784,3.92198e-20,0.00217339
0.996,nan,-0.192666,3.81829e-20,0.00217339
1,nan,-0.211015,3.6451e-20,0.00217339
