lead_s,aesindy_skill,persistence_skill,n_forecasts
0.196,0.08545744538385207,0.23076641379954235,234
0.2,0.08419390885920809,0.24105055239331785,234
0.20400000000000001,0.08075112600665993,0.250381738481237,234
0.20800000000000002,0.07384481412128731,0.2519118924566964,234
0.212,0.06483530564285478,0.24263348238759594,234
0.216,0.05652471349045438,0.22545892334830722,234
0.22,0.05029334501309295,0.20624600417908487,234
0.224,0.04476049304057891,0.19060072953448945,234
0.228,0.0364492332956407,0.18307493507673242,234
0.232,0.021781592686428004,0.18653017824591103,234
0.23600000000000002,0.000490472973921956,0.199605573261555,234
0.24,-0.022106639363052315,0.21537618149999413,234
0.244,-0.03946153801883213,0.22636382020011545,234
0.248,-0.05000347960848307,0.22915923028777344,234
0.252,-0.055516746662665074,0.22224277088897548,234
0.256,-0.0563730062586928,0.20495807916809375,234
0.26,-0.05071267679540962,0.1808237398350696,234
0.264,-0.038360205597551156,0.1590328595531024,234
0.268,-0.024730716452594535,0.1496244713351874,234
0.272,-0.01884625441318543,0.1565006898992881,234
0.276,-0.02647052734092591,0.17493365623921373,234
0.28,-0.044503924349623365,0.19447157498405068,234
0.28400000000000003,-0.061438999047301525,0.20417890801111419,234
0.28800000000000003,-0.06462538152198007,0.19793782701819884,234
0.292,-0.0497937653730207,0.17779754335435827,234
0.296,-0.023635796204424964,0.15171174485430478,234
0.3,0.0031552589853580254,0.12704714433553452,234
0.304,0.023665318373692703,0.10690112661126025,234
0.308,0.03762168435798312,0.09050324234495953,234
0.312,0.049561534657859854,0.07508346466203698,234
0.316,0.06411525225999373,0.05847295947095954,234
0.32,0.08207650435958252,0.04146915984659039,234
0.324,0.09980401314264527,0.027846490578479408,234
0.328,0.11159387996403854,0.021675525382553656,234
0.332,0.11358774809972877,0.024124000730791337,234
0.336,0.10610939929374869,0.032450814213472554,234
0.34,0.09159474619986369,0.04179295951709678,234
0.34400000000000003,0.07200700094535101,0.04749625577396523,234
0.34800000000000003,0.04998357200022214,0.04824866983952252,234
0.352,0.029717569976350014,0.049210247210480236,234
0.356,0.014080185588674599,0.058900359735561895,234
0.36,0.004047025125459408,0.08264572065090778,234
0.364,0.0007794392094295696,0.11757216276225887,234
0.368,0.004910980416178765,0.1510714648092826,234
0.372,0.01324456585554869,0.168427575993546,234
0.376,0.018509038956505536,0.16284946823488392,234
0.38,0.013816575363531971,0.13726404294127273,234
0.384,-0.0024118714779973035,0.10074046106428666,234
0.388,-0.025692356226348318,0.06355779897479445,234
0.392,-0.04947112502104765,0.033065938886635296,234
0.396,-0.06993790947294044,0.011734812063164693,234
0.4,-0.08791674266332831,-0.00258381638600943,234
0.404,-0.1067476901865206,-0.01389470401362312,234
0.40800000000000003,-0.1283625547559285,-0.02419064678395961,234
0.41200000000000003,-0.15087572189699014,-0.031690509982227215,234
0.41600000000000004,-0.16916121506142218,-0.03250628120150187,234
0.42,-0.177353730834216,-0.024161267773238397,234
0.424,-0.17116888180668693,-0.00831130667750262,234
0.428,-0.1498747252909216,0.008676347112566927,234
0.432,-0.1181595516611537,0.018042401624639093,234
0.436,-0.0853362267175737,0.013499212289531123,234
0.44,-0.06047621651967226,-0.004940788535868781,234
0.444,-0.0473848483793074,-0.03128513410676313,234
0.448,-0.04431928897451881,-0.05675829286948278,234
0.452,-0.047265265872702376,-0.07411791222730421,234
0.456,-0.05200921344355629,-0.08120368742453303,234
0.46,-0.05365910955589199,-0.08009450887807401,234
0.464,-0.04652183649650315,-0.07351075051531182,234
0.468,-0.02642696019397947,-0.06305766402881773,234
0.47200000000000003,0.005585408770389665,-0.050212699036368075,234
0.47600000000000003,0.0408350288647897,-0.03801506820422014,234
0.48,0.06580577261878348,-0.030803061349565456,234
0.484,0.0710026540492142,-0.031874238685494584,234
0.488,0.05922082607887621,-0.041848891296879034,234
0.492,0.04434166083164702,-0.058649639190713684,234
0.496,0.03828986887774033,-0.07808090711037272,234
0.5,0.039765941019884475,-0.09510161633892134,234
0.504,0.03846850950199519,-0.1063694827258707,234
