lowpass_hz,degree,n_delays,delay_samples,configuration_smooth_0,configuration_smooth_5,configuration_smooth_9,coefficient_count,max_variance,max_standard_deviation,max_variance_equation_index,max_variance_feature_index,max_variance_feature_name,mean_coefficient_at_max_variance,mean_elementwise_variance,relative_rms_variability,mean_pairwise_cosine_similarity,minimum_pairwise_cosine_similarity
80.0,2,6,5,169,170,171,168,397.87371231502124,19.94677197731556,4,0,1,-28.97013578412016,9.193978208848675,0.2719176221117556,0.8969689854168327,0.8298548628037682
80.0,2,8,1,172,173,174,360,59703.494339983336,244.34298504353126,0,4,x3,-796.7768126272127,1262.3208704395604,0.2878685955198687,0.9728406546377494,0.9666081336226805
80.0,2,8,2,175,176,177,360,2385.230848426682,48.838825215464404,7,7,x6,160.38415604133436,52.71474982651621,0.30698476776375827,0.8969850275152549,0.8410847768409492
80.0,2,8,5,178,179,180,360,384.256634606867,19.602465013535085,6,0,1,-29.041195106737987,6.136555120699308,0.27752140093483124,0.8929441557347126,0.8221822020875232
80.0,3,2,1,181,182,183,20,204.62551032553324,14.304737338571906,0,1,x0,213.7415724690509,41.471719245726334,0.06599152288484829,0.999124497346477,0.9983166490533374
80.0,3,2,2,184,185,186,20,137.32191619007526,11.718443420099584,0,0,1,-34.312550262969104,24.237765480089973,0.10866175976677073,0.9917524680478037,0.9844936719669719
80.0,3,2,5,187,188,189,20,177.63185136938293,13.327859969604383,1,0,1,-38.14384852487262,12.589511434720054,0.21434050002203064,0.9368391951053718,0.8982361964243676
80.0,3,4,1,190,191,192,140,4597.410363190947,67.80420608775643,3,3,x2,459.0771999722008,103.12688387221621,0.13686438641547607,0.9955395951453542,0.9924450793146851
80.0,3,4,2,193,194,195,140,2182.4937724915744,46.71716785606309,3,3,x2,156.81095859501576,66.8760597833896,0.2830333975849122,0.934340273821038,0.8739264742282753
80.0,3,4,5,196,197,198,140,302.5221650407237,17.39316431937339,2,0,1,-25.352133928783203,5.972884471819878,0.2470106257277196,0.9143728035969034,0.8580593197561444
80.0,3,6,1,199,200,201,504,17900.36571873285,133.79224835069053,0,3,x2,553.6405100075737,193.6152519263322,0.2042473693287984,0.9895890374547403,0.9839380524527963
80.0,3,6,2,202,203,204,504,1967.2051662482672,44.353186652688976,5,5,x4,155.3721836977079,18.97261601068258,0.2481574568844043,0.9341367157211605,0.8885127539556769
80.0,3,6,5,205,206,207,504,374.8931536809391,19.36215777440467,4,0,1,-25.523786301407203,2.914696948271921,0.27426063370427356,0.8953663706111169,0.8253615545769039
80.0,3,8,1,208,209,210,1320,61409.36944421945,247.8091391458746,0,4,x3,-795.8783259833782,336.33441853620803,0.2871015434751336,0.9756106297873673,0.9692860787068669
80.0,3,8,2,211,212,213,1320,2555.282182542698,50.549799035631175,7,7,x6,159.6325386170422,15.257806657690493,0.31635426540376527,0.8943555838112912,0.8379428142131712
80.0,3,8,5,214,215,216,1320,421.90875089299294,20.540417495586425,6,0,1,-27.933718274135998,1.6766604718331726,0.2860011265007056,0.886686698168524,0.8101300217156515
