degree,n_delays,delay_samples,smooth_window_samples,test_trial_id,completed_35hz,completed_80hz,reached_fraction_35hz,reached_fraction_80hz,reached_fraction_difference_80_minus_35
2,4,1,9,1244,True,False,1.0,0.45179049563728557,-0.5482095043627144
2,4,2,0,2,True,True,1.0,1.0,0.0
2,4,2,0,3,True,True,1.0,1.0,0.0
2,4,2,0,4,True,True,1.0,1.0,0.0
2,4,2,0,312,True,True,1.0,1.0,0.0
2,4,2,0,620,True,True,1.0,1.0,0.0
2,4,2,0,622,True,True,1.0,1.0,0.0
2,4,2,0,778,True,True,1.0,1.0,0.0
2,4,2,0,1088,True,True,1.0,1.0,0.0
2,4,2,0,1244,True,True,1.0,1.0,0.0
2,4,2,5,2,True,True,1.0,1.0,0.0
2,4,2,5,3,True,True,1.0,1.0,0.0
2,4,2,5,4,True,True,1.0,1.0,0.0
2,4,2,5,312,True,True,1.0,1.0,0.0
2,4,2,5,620,True,True,1.0,1.0,0.0
2,4,2,5,622,True,True,1.0,1.0,0.0
2,4,2,5,778,True,True,1.0,1.0,0.0
2,4,2,5,1088,True,True,1.0,1.0,0.0
2,4,2,5,1244,True,True,1.0,1.0,0.0
2,4,2,9,2,True,True,1.0,1.0,0.0
2,4,2,9,3,True,True,1.0,1.0,0.0
2,4,2,9,4,True,True,1.0,1.0,0.0
2,4,2,9,312,True,True,1.0,1.0,0.0
2,4,2,9,620,True,True,1.0,1.0,0.0
2,4,2,9,622,True,True,1.0,1.0,0.0
2,4,2,9,778,True,True,1.0,1.0,0.0
2,4,2,9,1088,True,True,1.0,1.0,0.0
2,4,2,9,1244,True,True,1.0,1.0,0.0
2,4,5,0,2,True,True,1.0,1.0,0.0
2,4,5,0,3,True,True,1.0,1.0,0.0
2,4,5,0,4,True,True,1.0,1.0,0.0
2,4,5,0,312,True,False,1.0,0.5383564262968813,-0.4616435737031187
2,4,5,0,620,True,True,1.0,1.0,0.0
2,4,5,0,622,True,True,1.0,1.0,0.0
2,4,5,0,778,True,False,1.0,0.7990651449217303,-0.2009348550782697
2,4,5,0,1088,True,True,1.0,1.0,0.0
2,4,5,0,1244,False,False,0.15666223122053974,0.10580599875165411,-0.050856232468885626
2,4,5,5,2,True,True,1.0,1.0,0.0
2,4,5,5,3,True,False,1.0,0.6646093624977537,-0.3353906375022463
2,4,5,5,4,True,True,1.0,1.0,0.0
2,4,5,5,312,True,False,1.0,0.7709586845164913,-0.2290413154835087
2,4,5,5,620,True,True,1.0,1.0,0.0
2,4,5,5,622,True,True,1.0,1.0,0.0
2,4,5,5,778,True,False,1.0,0.6929935979644622,-0.30700640203553775
