configuration_index,lowpass_hz,degree,n_delays,delay_samples,delay_ms,embedding_span_ms,smooth_window_samples,smooth_window_ms,derivative_method,nonzero_terms,possible_terms,term_utilization_percent,fit_runtime_s,simulation_attempts,completed_simulations,failed_simulations,completion_fraction,all_held_out_completed,failure_reasons,figure_exists
105,35.0,3,8,2,8.0,56.0,9,36.0,smoothed_finite_difference_savgol_order_3,1320,1320,100.0,31.562388882040977,9,2,7,0.2222222222222222,False,integration error: model derivative became non-finite,True
106,35.0,3,8,5,20.0,140.0,0,0.0,finite_difference,1320,1320,100.0,26.86574270389974,9,5,4,0.5555555555555556,False,integration error: model derivative became non-finite,True
107,35.0,3,8,5,20.0,140.0,5,20.0,smoothed_finite_difference_savgol_order_3,1320,1320,100.0,24.46415909193456,9,5,4,0.5555555555555556,False,integration error: model derivative became non-finite,True
108,35.0,3,8,5,20.0,140.0,9,36.0,smoothed_finite_difference_savgol_order_3,1320,1320,100.0,24.523235926404595,9,4,5,0.4444444444444444,False,integration error: model derivative became non-finite,True
109,80.0,1,2,1,4.0,4.0,0,0.0,finite_difference,6,6,100.0,0.9288135077804327,9,9,0,1.0,True,,True
110,80.0,1,2,1,4.0,4.0,5,20.0,smoothed_finite_difference_savgol_order_3,6,6,100.0,0.13949079997837543,9,9,0,1.0,True,,True
111,80.0,1,2,1,4.0,4.0,9,36.0,smoothed_finite_difference_savgol_order_3,6,6,100.0,0.11471452936530113,9,9,0,1.0,True,,True
112,80.0,1,2,2,8.0,8.0,0,0.0,finite_difference,6,6,100.0,0.09706160426139832,9,9,0,1.0,True,,True
113,80.0,1,2,2,8.0,8.0,5,20.0,smoothed_finite_difference_savgol_order_3,6,6,100.0,0.10917693749070168,9,9,0,1.0,True,,True
114,80.0,1,2,2,8.0,8.0,9,36.0,smoothed_finite_difference_savgol_order_3,6,6,100.0,0.1084357500076294,9,9,0,1.0,True,,True
115,80.0,1,2,5,20.0,20.0,0,0.0,finite_difference,6,6,100.0,0.09067657217383385,9,9,0,1.0,True,,True
116,80.0,1,2,5,20.0,20.0,5,20.0,smoothed_finite_difference_savgol_order_3,6,6,100.0,0.10590233281254768,9,9,0,1.0,True,,True
117,80.0,1,2,5,20.0,20.0,9,36.0,smoothed_finite_difference_savgol_order_3,6,6,100.0,0.10711851343512535,9,9,0,1.0,True,,True
118,80.0,1,4,1,4.0,12.0,0,0.0,finite_difference,20,20,100.0,0.18493494763970375,9,9,0,1.0,True,,True
119,80.0,1,4,1,4.0,12.0,5,20.0,smoothed_finite_difference_savgol_order_3,20,20,100.0,0.18520224653184414,9,9,0,1.0,True,,True
120,80.0,1,4,1,4.0,12.0,9,36.0,smoothed_finite_difference_savgol_order_3,20,20,100.0,0.19336255826056004,9,9,0,1.0,True,,True
121,80.0,1,4,2,8.0,24.0,0,0.0,finite_difference,20,20,100.0,0.17341170459985733,9,9,0,1.0,True,,True
122,80.0,1,4,2,8.0,24.0,5,20.0,smoothed_finite_difference_savgol_order_3,20,20,100.0,0.1867293193936348,9,9,0,1.0,True,,True
123,80.0,1,4,2,8.0,24.0,9,36.0,smoothed_finite_difference_savgol_order_3,20,20,100.0,0.18770422786474228,9,9,0,1.0,True,,True
124,80.0,1,4,5,20.0,60.0,0,0.0,finite_difference,20,20,100.0,0.16534831933677197,9,9,0,1.0,True,,True
125,80.0,1,4,5,20.0,60.0,5,20.0,smoothed_finite_difference_savgol_order_3,20,20,100.0,0.1852816715836525,9,9,0,1.0,True,,True
126,80.0,1,4,5,20.0,60.0,9,36.0,smoothed_finite_difference_savgol_order_3,20,20,100.0,0.18418645299971104,9,9,0,1.0,True,,True
127,80.0,1,6,1,4.0,20.0,0,0.0,finite_difference,42,42,100.0,0.30329793132841587,9,9,0,1.0,True,,True
128,80.0,1,6,1,4.0,20.0,5,20.0,smoothed_finite_difference_savgol_order_3,42,42,100.0,0.34175785817205906,9,9,0,1.0,True,,True
129,80.0,1,6,1,4.0,20.0,9,36.0,smoothed_finite_difference_savgol_order_3,42,42,100.0,0.3544397857040167,9,9,0,1.0,True,,True
130,80.0,1,6,2,8.0,40.0,0,0.0,finite_difference,42,42,100.0,0.32166786305606365,9,9,0,1.0,True,,True
131,80.0,1,6,2,8.0,40.0,5,20.0,smoothed_finite_difference_savgol_order_3,42,42,100.0,0.331984193995595,9,9,0,1.0,True,,True
132,80.0,1,6,2,8.0,40.0,9,36.0,smoothed_finite_difference_savgol_order_3,42,42,100.0,0.32984987646341324,9,9,0,1.0,True,,True
133,80.0,1,6,5,20.0,100.0,0,0.0,finite_difference,42,42,100.0,0.3067082818597555,9,9,0,1.0,True,,True
134,80.0,1,6,5,20.0,100.0,5,20.0,smoothed_finite_difference_savgol_order_3,42,42,100.0,0.32971412502229214,9,9,0,1.0,True,,True
135,80.0,1,6,5,20.0,100.0,9,36.0,smoothed_finite_difference_savgol_order_3,42,42,100.0,0.3301087412983179,9,9,0,1.0,True,,True
136,80.0,1,8,1,4.0,28.0,0,0.0,finite_difference,72,72,100.0,0.5128913689404726,9,9,0,1.0,True,,True
137,80.0,1,8,1,4.0,28.0,5,20.0,smoothed_finite_difference_savgol_order_3,72,72,100.0,0.5242515485733747,9,9,0,1.0,True,,True
138,80.0,1,8,1,4.0,28.0,9,36.0,smoothed_finite_difference_savgol_order_3,72,72,100.0,0.5314259082078934,9,9,0,1.0,True,,True
139,80.0,1,8,2,8.0,56.0,0,0.0,finite_difference,72,72,100.0,0.4981483966112137,9,9,0,1.0,True,,True
140,80.0,1,8,2,8.0,56.0,5,20.0,smoothed_finite_difference_savgol_order_3,72,72,100.0,0.5506925284862518,9,9,0,1.0,True,,True
141,80.0,1,8,2,8.0,56.0,9,36.0,smoothed_finite_difference_savgol_order_3,72,72,100.0,0.5209359955042601,9,9,0,1.0,True,,False
142,80.0,1,8,5,20.0,140.0,0,0.0,finite_difference,72,72,100.0,0.4856605362147093,9,9,0,1.0,True,,True
143,80.0,1,8,5,20.0,140.0,5,20.0,smoothed_finite_difference_savgol_order_3,72,72,100.0,0.5149639379233122,9,9,0,1.0,True,,True
144,80.0,1,8,5,20.0,140.0,9,36.0,smoothed_finite_difference_savgol_order_3,72,72,100.0,0.5140608604997396,9,9,0,1.0,True,,True
145,80.0,2,2,1,4.0,4.0,0,0.0,finite_difference,12,12,100.0,0.7452747356146574,9,7,2,0.7777777777777778,False,integration error: model derivative became non-finite,True
146,80.0,2,2,1,4.0,4.0,5,20.0,smoothed_finite_difference_savgol_order_3,12,12,100.0,0.1297641433775425,9,7,2,0.7777777777777778,False,integration error: model derivative became non-finite,True
147,80.0,2,2,1,4.0,4.0,9,36.0,smoothed_finite_difference_savgol_order_3,12,12,100.0,0.1281182561069727,9,9,0,1.0,True,,True
148,80.0,2,2,2,8.0,8.0,0,0.0,finite_difference,12,12,100.0,0.11036904528737068,9,8,1,0.8888888888888888,False,integration error: model derivative became non-finite,True
149,80.0,2,2,2,8.0,8.0,5,20.0,smoothed_finite_difference_savgol_order_3,12,12,100.0,0.1265434119850397,9,8,1,0.8888888888888888,False,integration error: model derivative became non-finite,True
150,80.0,2,2,2,8.0,8.0,9,36.0,smoothed_finite_difference_savgol_order_3,12,12,100.0,0.13065866008400917,9,9,0,1.0,True,,True
151,80.0,2,2,5,20.0,20.0,0,0.0,finite_difference,12,12,100.0,0.11676246859133244,9,9,0,1.0,True,,True
152,80.0,2,2,5,20.0,20.0,5,20.0,smoothed_finite_difference_savgol_order_3,12,12,100.0,0.12682194635272026,9,9,0,1.0,True,,True
153,80.0,2,2,5,20.0,20.0,9,36.0,smoothed_finite_difference_savgol_order_3,12,12,100.0,0.13056216947734356,9,9,0,1.0,True,,True
154,80.0,2,4,1,4.0,12.0,0,0.0,finite_difference,60,60,100.0,0.4700000640004873,9,3,6,0.3333333333333333,False,integration error: model derivative became non-finite,True
155,80.0,2,4,1,4.0,12.0,5,20.0,smoothed_finite_difference_savgol_order_3,60,60,100.0,0.4063528850674629,9,1,8,0.1111111111111111,False,integration error: model derivative became non-finite,True
156,80.0,2,4,1,4.0,12.0,9,36.0,smoothed_finite_difference_savgol_order_3,60,60,100.0,0.4427534732967615,9,0,9,0.0,False,integration error: model derivative became non-finite,True
157,80.0,2,4,2,8.0,24.0,0,0.0,finite_difference,60,60,100.0,0.44547396525740623,9,9,0,1.0,True,,True
158,80.0,2,4,2,8.0,24.0,5,20.0,smoothed_finite_difference_savgol_order_3,60,60,100.0,0.4208104442805052,9,9,0,1.0,True,,True
159,80.0,2,4,2,8.0,24.0,9,36.0,smoothed_finite_difference_savgol_order_3,60,60,100.0,0.41542320139706135,9,9,0,1.0,True,,True
160,80.0,2,4,5,20.0,60.0,0,0.0,finite_difference,60,60,100.0,0.46203854866325855,9,6,3,0.6666666666666666,False,integration error: model derivative became non-finite,True
161,80.0,2,4,5,20.0,60.0,5,20.0,smoothed_finite_difference_savgol_order_3,60,60,100.0,0.46154898405075073,9,4,5,0.4444444444444444,False,integration error: model derivative became non-finite,True
162,80.0,2,4,5,20.0,60.0,9,36.0,smoothed_finite_difference_savgol_order_3,60,60,100.0,0.4287616014480591,9,8,1,0.8888888888888888,False,integration error: model derivative became non-finite,True
