dataset,channel,n_delays,delay_samples_after_downsample,downsample,lowpass_hz,normalize,threshold,degree,smooth_window,split_method,train_trials,test_trials,train_trial_indices,test_trial_indices,dt,train_score_r2,test_score_r2,train_mse,test_mse,train_rmse,test_rmse,nonzero_terms,min_train_embedded_samples,min_test_embedded_samples,status,error
fixation_only,0,2,2,2,80.0,zscore,0.2,1,0,sequential_final_holdout,38,12,0 1 2 3 4 155 156 157 158 159 310 311 312 313 314 465 466 467 468 469 620 621 622 623 624 775 776 777 778 779 930 931 932 933 934 1085 1086 1087,1088 1089 1240 1241 1242 1243 1244 1395 1396 1397 1398 1399,0.004,0.5428702371844303,0.5393515266426372,2196.6896109413283,2765.3866163552943,46.868855447315205,52.58694340190628,4,3519,3520,ok,
fixation_only,0,2,2,2,80.0,zscore,0.2,2,0,sequential_final_holdout,38,12,0 1 2 3 4 155 156 157 158 159 310 311 312 313 314 465 466 467 468 469 620 621 622 623 624 775 776 777 778 779 930 931 932 933 934 1085 1086 1087,1088 1089 1240 1241 1242 1243 1244 1395 1396 1397 1398 1399,0.004,0.5461245763191578,0.5423051519591093,2181.050808881013,2747.655098519128,46.701721690757964,52.41807988203238,12,3519,3520,ok,
fixation_only,0,2,5,2,80.0,zscore,0.05,1,0,sequential_final_holdout,38,12,0 1 2 3 4 155 156 157 158 159 310 311 312 313 314 465 466 467 468 469 620 621 622 623 624 775 776 777 778 779 930 931 932 933 934 1085 1086 1087,1088 1089 1240 1241 1242 1243 1244 1395 1396 1397 1398 1399,0.004,0.16023291790761962,0.13833775089794714,4033.5719848172857,5173.660684566894,63.510408476227624,71.92816336155744,4,3516,3517,ok,
fixation_only,0,2,5,2,80.0,zscore,0.05,2,0,sequential_final_holdout,38,12,0 1 2 3 4 155 156 157 158 159 310 311 312 313 314 465 466 467 468 469 620 621 622 623 624 775 776 777 778 779 930 931 932 933 934 1085 1086 1087,1088 1089 1240 1241 1242 1243 1244 1395 1396 1397 1398 1399,0.004,0.16354213138427337,0.14113245307689642,4017.674362703473,5156.878901069389,63.38512729894508,71.81141205316456,11,3516,3517,ok,
fixation_only,0,2,5,2,80.0,zscore,0.1,1,0,sequential_final_holdout,38,12,0 1 2 3 4 155 156 157 158 159 310 311 312 313 314 465 466 467 468 469 620 621 622 623 624 775 776 777 778 779 930 931 932 933 934 1085 1086 1087,1088 1089 1240 1241 1242 1243 1244 1395 1396 1397 1398 1399,0.004,0.16023291790761962,0.13833775089794714,4033.5719848172857,5173.660684566894,63.510408476227624,71.92816336155744,4,3516,3517,ok,
fixation_only,0,2,5,2,80.0,zscore,0.1,2,0,sequential_final_holdout,38,12,0 1 2 3 4 155 156 157 158 159 310 311 312 313 314 465 466 467 468 469 620 621 622 623 624 775 776 777 778 779 930 931 932 933 934 1085 1086 1087,1088 1089 1240 1241 1242 1243 1244 1395 1396 1397 1398 1399,0.004,0.1635412470028445,0.14115059645687722,4017.678609337517,5156.769980847896,63.38516079759928,71.810653672334,10,3516,3517,ok,
fixation_only,0,2,5,2,80.0,zscore,0.2,1,0,sequential_final_holdout,38,12,0 1 2 3 4 155 156 157 158 159 310 311 312 313 314 465 466 467 468 469 620 621 622 623 624 775 776 777 778 779 930 931 932 933 934 1085 1086 1087,1088 1089 1240 1241 1242 1243 1244 1395 1396 1397 1398 1399,0.004,0.16023291790761962,0.13833775089794714,4033.5719848172857,5173.660684566894,63.510408476227624,71.92816336155744,4,3516,3517,ok,
fixation_only,0,2,5,2,80.0,zscore,0.2,2,0,sequential_final_holdout,38,12,0 1 2 3 4 155 156 157 158 159 310 311 312 313 314 465 466 467 468 469 620 621 622 623 624 775 776 777 778 779 930 931 932 933 934 1085 1086 1087,1088 1089 1240 1241 1242 1243 1244 1395 1396 1397 1398 1399,0.004,0.1635412470028445,0.14115059645687722,4017.678609337517,5156.769980847896,63.38516079759928,71.810653672334,10,3516,3517,ok,
fixation_only,0,4,1,2,80.0,zscore,0.05,1,0,sequential_final_holdout,38,12,0 1 2 3 4 155 156 157 158 159 310 311 312 313 314 465 466 467 468 469 620 621 622 623 624 775 776 777 778 779 930 931 932 933 934 1085 1086 1087,1088 1089 1240 1241 1242 1243 1244 1395 1396 1397 1398 1399,0.004,0.9460791307212033,0.946736896943539,259.07758455691226,319.7051250942234,16.09588719384279,17.880299916226893,16,3518,3519,ok,
fixation_only,0,4,1,2,80.0,zscore,0.05,2,0,sequential_final_holdout,38,12,0 1 2 3 4 155 156 157 158 159 310 311 312 313 314 465 466 467 468 469 620 621 622 623 624 775 776 777 778 779 930 931 932 933 934 1085 1086 1087,1088 1089 1240 1241 1242 1243 1244 1395 1396 1397 1398 1399,0.004,0.9468374665723457,0.9473841134196183,255.43401262970394,315.8203300770041,15.982303107803453,17.771334504673646,54,3518,3519,ok,
fixation_only,0,4,1,2,80.0,zscore,0.1,1,0,sequential_final_holdout,38,12,0 1 2 3 4 155 156 157 158 159 310 311 312 313 314 465 466 467 468 469 620 621 622 623 624 775 776 777 778 779 930 931 932 933 934 1085 1086 1087,1088 1089 1240 1241 1242 1243 1244 1395 1396 1397 1398 1399,0.004,0.9460790974328583,0.9467368967208731,259.0777444172264,319.70512643145,16.095892159716602,17.880299953620746,12,3518,3519,ok,
fixation_only,0,4,1,2,80.0,zscore,0.1,2,0,sequential_final_holdout,38,12,0 1 2 3 4 155 156 157 158 159 310 311 312 313 314 465 466 467 468 469 620 621 622 623 624 775 776 777 778 779 930 931 932 933 934 1085 1086 1087,1088 1089 1240 1241 1242 1243 1244 1395 1396 1397 1398 1399,0.004,0.9468373542456147,0.9473842246152936,255.43455200406714,315.8196628165087,15.982319981907105,17.771315731158136,39,3518,3519,ok,
fixation_only,0,4,1,2,80.0,zscore,0.2,1,0,sequential_final_holdout,38,12,0 1 2 3 4 155 156 157 158 159 310 311 312 313 314 465 466 467 468 469 620 621 622 623 624 775 776 777 778 779 930 931 932 933 934 1085 1086 1087,1088 1089 1240 1241 1242 1243 1244 1395 1396 1397 1398 1399,0.004,0.9460790974328583,0.9467368967208731,259.0777444172264,319.70512643145,16.095892159716602,17.880299953620746,12,3518,3519,ok,
fixation_only,0,4,1,2,80.0,zscore,0.2,2,0,sequential_final_holdout,38,12,0 1 2 3 4 155 156 157 158 159 310 311 312 313 314 465 466 467 468 469 620 621 622 623 624 775 776 777 778 779 930 931 932 933 934 1085 1086 1087,1088 1089 1240 1241 1242 1243 1244 1395 1396 1397 1398 1399,0.004,0.9468372658269758,0.9473843222584591,255.434976647722,315.8190768858892,15.98233326669551,17.771299245859577,34,3518,3519,ok,
fixation_only,0,4,2,2,80.0,zscore,0.05,1,0,sequential_final_holdout,38,12,0 1 2 3 4 155 156 157 158 159 310 311 312 313 314 465 466 467 468 469 620 621 622 623 624 775 776 777 778 779 930 931 932 933 934 1085 1086 1087,1088 1089 1240 1241 1242 1243 1244 1395 1396 1397 1398 1399,0.004,0.6995265859745516,0.6987460053864956,1443.1424161125997,1807.0915414373771,37.988714325607276,42.50989933459473,16,3515,3516,ok,
fixation_only,0,4,2,2,80.0,zscore,0.05,2,0,sequential_final_holdout,38,12,0 1 2 3 4 155 156 157 158 159 310 311 312 313 314 465 466 467 468 469 620 621 622 623 624 775 776 777 778 779 930 931 932 933 934 1085 1086 1087,1088 1089 1240 1241 1242 1243 1244 1395 1396 1397 1398 1399,0.004,0.7038720618565627,0.7026273311857842,1422.2708779952738,1783.8101500499154,37.71300674827285,42.23517669017043,59,3515,3516,ok,
fixation_only,0,4,2,2,80.0,zscore,0.1,1,0,sequential_final_holdout,38,12,0 1 2 3 4 155 156 157 158 159 310 311 312 313 314 465 466 467 468 469 620 621 622 623 624 775 776 777 778 779 930 931 932 933 934 1085 1086 1087,1088 1089 1240 1241 1242 1243 1244 1395 1396 1397 1398 1399,0.004,0.6995265859745516,0.6987460053864956,1443.1424161125997,1807.0915414373771,37.988714325607276,42.50989933459473,16,3515,3516,ok,
fixation_only,0,4,2,2,80.0,zscore,0.1,2,0,sequential_final_holdout,38,12,0 1 2 3 4 155 156 157 158 159 310 311 312 313 314 465 466 467 468 469 620 621 622 623 624 775 776 777 778 779 930 931 932 933 934 1085 1086 1087,1088 1089 1240 1241 1242 1243 1244 1395 1396 1397 1398 1399,0.004,0.7038720618565627,0.7026273311857842,1422.2708779952738,1783.8101500499154,37.71300674827285,42.23517669017043,59,3515,3516,ok,
fixation_only,0,4,2,2,80.0,zscore,0.2,1,0,sequential_final_holdout,38,12,0 1 2 3 4 155 156 157 158 159 310 311 312 313 314 465 466 467 468 469 620 621 622 623 624 775 776 777 778 779 930 931 932 933 934 1085 1086 1087,1088 1089 1240 1241 1242 1243 1244 1395 1396 1397 1398 1399,0.004,0.6995265859745516,0.6987460053864956,1443.1424161125997,1807.0915414373771,37.988714325607276,42.50989933459473,16,3515,3516,ok,
