configuration_index,lowpass_hz,global_zscore_mean,global_zscore_std,optimizer,stlsq_threshold,alpha,nu,degree,n_delays,delay_samples,delay_ms,embedding_span_ms,smooth_window_samples,smooth_window_ms,derivative_method,fit_status,fit_failure_reason,nonzero_terms,possible_terms,term_utilization_percent,fit_runtime_s,feature_names_json,coefficients_json,equations
25,35.0,,,sr3,0.1,0.05,0.01,2,2,5,20.0,20.0,0,0.0,finite_difference,success,,8,12,66.66666666666667,0.08535015303641558,"[""1"", ""x0"", ""x1"", ""x0^2"", ""x0 x1"", ""x1^2""]","[[-41.93661449093249, 21.733224604159155, -37.57893399917579, 0.0, 0.0, -0.0], [10.50733510385557, 37.81709685710988, -21.85761600512554, 0.0658430087334852, -0.08572814359710647, -0.0]]",(x0)' = -41.937 1 +  21.733 x0 + -37.579 x1 | (x1)' =  10.507 1 +  37.817 x0 + -21.858 x1 +  0.066 x0^2 + -0.086 x0 x1
26,35.0,,,sr3,0.1,0.05,0.1,2,2,5,20.0,20.0,0,0.0,finite_difference,success,,6,12,50.0,0.0806958768516779,"[""1"", ""x0"", ""x1"", ""x0^2"", ""x0 x1"", ""x1^2""]","[[-41.93661447409323, 21.73322460420989, -37.578933999357986, 0.0, 0.0, -0.0], [10.507335119861285, 37.81709685714363, -21.857616005225655, 0.0, -0.0, -0.0]]",(x0)' = -41.937 1 +  21.733 x0 + -37.579 x1 | (x1)' =  10.507 1 +  37.817 x0 + -21.858 x1
27,35.0,,,sr3,0.1,0.05,1.0,2,2,5,20.0,20.0,0,0.0,finite_difference,success,,6,12,50.0,0.08442364912480116,"[""1"", ""x0"", ""x1"", ""x0^2"", ""x0 x1"", ""x1^2""]","[[-41.936614472406475, 21.73322460421499, -37.578933999376225, 0.0, 0.0, -0.0], [10.50733511425714, 37.817096857162454, -21.857616005209625, 0.0, -0.0, -0.0]]",(x0)' = -41.937 1 +  21.733 x0 + -37.579 x1 | (x1)' =  10.507 1 +  37.817 x0 + -21.858 x1
28,35.0,,,sr3,0.1,0.05,10.0,2,2,5,20.0,20.0,0,0.0,finite_difference,success,,6,12,50.0,0.08322933316230774,"[""1"", ""x0"", ""x1"", ""x0^2"", ""x0 x1"", ""x1^2""]","[[-41.93661447223777, 21.733224604215486, -37.578933999378044, 0.0, 0.0, -0.0], [10.507335113696694, 37.81709685716432, -21.857616005208012, 0.0, -0.0, -0.0]]",(x0)' = -41.937 1 +  21.733 x0 + -37.579 x1 | (x1)' =  10.507 1 +  37.817 x0 + -21.858 x1
29,35.0,,,sr3,0.1,0.05,0.01,2,2,5,20.0,20.0,5,20.0,smoothed_finite_difference_savgol_order_3,success,,8,12,66.66666666666667,0.09850366972386837,"[""1"", ""x0"", ""x1"", ""x0^2"", ""x0 x1"", ""x1^2""]","[[-41.46088848763953, 21.95577034998748, -37.818548056389545, 0.0, 0.0, -0.0], [11.304311367095242, 38.047317648743395, -22.078539547962823, 0.06489377934941226, -0.08477271462668985, -0.0]]",(x0)' = -41.461 1 +  21.956 x0 + -37.819 x1 | (x1)' =  11.304 1 +  38.047 x0 + -22.079 x1 +  0.065 x0^2 + -0.085 x0 x1
30,35.0,,,sr3,0.1,0.05,0.1,2,2,5,20.0,20.0,5,20.0,smoothed_finite_difference_savgol_order_3,success,,6,12,50.0,0.09878280572593212,"[""1"", ""x0"", ""x1"", ""x0^2"", ""x0 x1"", ""x1^2""]","[[-41.460888469707655, 21.955770350037966, -37.818548056575985, 0.0, 0.0, -0.0], [11.304311383160636, 38.04731764877831, -22.078539548063386, 0.0, -0.0, -0.0]]",(x0)' = -41.461 1 +  21.956 x0 + -37.819 x1 | (x1)' =  11.304 1 +  38.047 x0 + -22.079 x1
31,35.0,,,sr3,0.1,0.05,1.0,2,2,5,20.0,20.0,5,20.0,smoothed_finite_difference_savgol_order_3,success,,6,12,50.0,0.10128514468669891,"[""1"", ""x0"", ""x1"", ""x0^2"", ""x0 x1"", ""x1^2""]","[[-41.46088846791146, 21.95577035004303, -37.81854805659464, 0.0, 0.0, -0.0], [11.30431137757627, 38.047317648796444, -22.078539548047182, 0.0, -0.0, -0.0]]",(x0)' = -41.461 1 +  21.956 x0 + -37.819 x1 | (x1)' =  11.304 1 +  38.047 x0 + -22.079 x1
32,35.0,,,sr3,0.1,0.05,10.0,2,2,5,20.0,20.0,5,20.0,smoothed_finite_difference_savgol_order_3,success,,6,12,50.0,0.0978626823052764,"[""1"", ""x0"", ""x1"", ""x0^2"", ""x0 x1"", ""x1^2""]","[[-41.460888467731806, 21.955770350043537, -37.818548056596505, 0.0, 0.0, -0.0], [11.304311377017783, 38.047317648798284, -22.07853954804558, 0.0, -0.0, -0.0]]",(x0)' = -41.461 1 +  21.956 x0 + -37.819 x1 | (x1)' =  11.304 1 +  38.047 x0 + -22.079 x1
33,35.0,,,sr3,0.1,0.05,0.01,2,2,5,20.0,20.0,9,36.0,smoothed_finite_difference_savgol_order_3,success,,9,12,75.0,0.10270515829324722,"[""1"", ""x0"", ""x1"", ""x0^2"", ""x0 x1"", ""x1^2""]","[[-36.77777812929144, 24.160718487994014, -39.96089423991493, 0.0, 0.04950991260219458, -0.0], [17.592420055155, 40.116496867164535, -24.272158350472807, 0.0559530903351522, -0.07473287619673595, -0.0]]",(x0)' = -36.778 1 +  24.161 x0 + -39.961 x1 +  0.050 x0 x1 | (x1)' =  17.592 1 +  40.116 x0 + -24.272 x1 +  0.056 x0^2 + -0.075 x0 x1
34,35.0,,,sr3,0.1,0.05,0.1,2,2,5,20.0,20.0,9,36.0,smoothed_finite_difference_savgol_order_3,success,,6,12,50.0,0.10044942703098059,"[""1"", ""x0"", ""x1"", ""x0^2"", ""x0 x1"", ""x1^2""]","[[-36.77777813126645, 24.160718488037528, -39.960894239940835, 0.0, 0.0, -0.0], [17.592420071845506, 40.11649686721093, -24.27215835057752, 0.0, -0.0, -0.0]]",(x0)' = -36.778 1 +  24.161 x0 + -39.961 x1 | (x1)' =  17.592 1 +  40.116 x0 + -24.272 x1
