configuration_index,test_trial_id,simulation_status,failure_reason,requested_duration_s,reached_duration_s,simulation_runtime_s,rhs_evaluations
108,2,failed,integration error: model derivative became non-finite,14.056000000000001,6.77484698178309,491.8547506760806,32098
108,3,failed,integration error: model derivative became non-finite,14.056000000000001,1.1825021704501246,294.4118595197797,19381
108,4,success,,13.948,13.948,698.4052345585078,45151
108,312,failed,integration error: model derivative became non-finite,14.056000000000001,1.2853429951632824,315.74510146677494,20861
108,620,success,,14.056000000000001,14.056000000000001,662.3807010669261,43286
108,622,success,,14.056000000000001,14.056000000000001,608.8299295920879,39519
108,778,failed,integration error: model derivative became non-finite,14.056000000000001,2.672305828268187,333.7693881262094,21930
108,1088,success,,14.06,14.06,634.409904776141,41240
108,1244,failed,integration error: model derivative became non-finite,13.948,2.3230667244725187,320.9408133197576,21052
109,2,success,,14.192,14.192,9.624938008375466,23102
109,3,success,,14.192,14.192,9.209697951562703,21884
109,4,success,,14.084,14.084,9.437122066505253,22705
109,312,success,,14.192,14.192,9.470288950018585,23185
109,620,success,,14.192,14.192,9.100603717379272,22176
109,622,success,,14.192,14.192,9.596697500906885,23283
109,778,success,,14.192,14.192,9.568167296238244,23239
109,1088,success,,14.196,14.196,9.682246122509241,23225
109,1244,success,,14.084,14.084,9.147499710321426,22222
110,2,success,,14.192,14.192,9.337830065749586,21856
110,3,success,,14.192,14.192,9.384803271852434,22102
110,4,success,,14.084,14.084,9.198121243156493,21719
110,312,success,,14.192,14.192,9.208412389270961,21848
110,620,success,,14.192,14.192,8.927368591539562,21064
110,622,success,,14.192,14.192,9.17641566414386,21613
110,778,success,,14.192,14.192,9.486581478267908,22294
110,1088,success,,14.196,14.196,9.347475270740688,21913
110,1244,success,,14.084,14.084,9.236530063673854,21604
111,2,success,,14.192,14.192,8.898430919274688,22145
111,3,success,,14.192,14.192,8.583797674626112,21407
111,4,success,,14.084,14.084,9.000643290579319,22012
111,312,success,,14.192,14.192,8.465455019846559,21198
111,620,success,,14.192,14.192,8.779773034155369,21946
111,622,success,,14.192,14.192,8.666995057836175,21726
111,778,success,,14.192,14.192,8.660355104133487,21596
111,1088,success,,14.196,14.196,8.90216737985611,22018
111,1244,success,,14.084,14.084,8.691500537097454,21698
112,2,success,,14.188,14.188,6.297308186069131,16746
112,3,success,,14.188,14.188,6.401748253032565,17045
112,4,success,,14.08,14.08,6.09936317242682,16048
112,312,success,,14.188,14.188,6.170782510191202,16474
112,620,success,,14.188,14.188,6.509289979934692,17254
112,622,success,,14.188,14.188,6.22363899089396,16395
112,778,success,,14.188,14.188,6.315004911273718,16899
112,1088,success,,14.192,14.192,6.410589408129454,16994
112,1244,success,,14.08,14.08,6.428987562656403,17128
113,2,success,,14.188,14.188,6.777050420641899,18113
113,3,success,,14.188,14.188,6.6795616038143635,17985
113,4,success,,14.08,14.08,6.060662100091577,16115
113,312,success,,14.188,14.188,6.442438989877701,17232
113,620,success,,14.188,14.188,6.57411328330636,17590
113,622,success,,14.188,14.188,6.656225066632032,17770
113,778,success,,14.188,14.188,6.644290721043944,17794
113,1088,success,,14.192,14.192,6.882989052683115,18293
113,1244,success,,14.08,14.08,6.504887394607067,17344
114,2,success,,14.188,14.188,6.982166440226138,16876
114,3,success,,14.188,14.188,7.041084880009294,16987
114,4,success,,14.08,14.08,6.996775842271745,16718
114,312,success,,14.188,14.188,6.936252161860466,16881
114,620,success,,14.188,14.188,7.039350387640297,16952
114,622,success,,14.188,14.188,7.373423057608306,17434
114,778,success,,14.188,14.188,7.164984865114093,17372
114,1088,success,,14.192,14.192,7.516838662326336,17835
114,1244,success,,14.08,14.08,7.624445899389684,18353
115,2,success,,14.176,14.176,4.568126579746604,10556
115,3,success,,14.176,14.176,4.346178203821182,10042
115,4,success,,14.068,14.068,4.254149492830038,9639
115,312,success,,14.176,14.176,4.416247133165598,10119
115,620,success,,14.176,14.176,4.207116527482867,9534
115,622,success,,14.176,14.176,4.369072997942567,10025
115,778,success,,14.176,14.176,4.449886783957481,10147
115,1088,success,,14.18,14.18,4.271803479641676,9784
115,1244,success,,14.068,14.068,4.155574183911085,9333
116,2,success,,14.176,14.176,4.134995291009545,10052
116,3,success,,14.176,14.176,4.221235746517777,10374
116,4,success,,14.068,14.068,3.8712861239910126,9446
116,312,success,,14.176,14.176,4.133010007441044,10274
116,620,success,,14.176,14.176,4.034578705206513,9773
116,622,success,,14.176,14.176,4.2967564929276705,10273
116,778,success,,14.176,14.176,4.082807343453169,10161
116,1088,success,,14.18,14.18,4.346359726041555,10541
116,1244,success,,14.068,14.068,4.105273447930813,10216
117,2,success,,14.176,14.176,4.180854866281152,11089
117,3,success,,14.176,14.176,4.116989713162184,10978
117,4,success,,14.068,14.068,4.043823037296534,10647
117,312,success,,14.176,14.176,4.163294380530715,11083
117,620,success,,14.176,14.176,3.998251097276807,10587
117,622,success,,14.176,14.176,4.216712657362223,11142
117,778,success,,14.176,14.176,4.323155052959919,11591
117,1088,success,,14.18,14.18,4.328612936660647,11393
117,1244,success,,14.068,14.068,4.0403522327542305,10749
118,2,success,,14.184000000000001,14.184000000000001,24.736276960000396,46111
118,3,success,,14.184000000000001,14.184000000000001,24.71210808493197,46112
118,4,success,,14.076,14.076,50.9851984847337,95325
118,312,success,,14.184000000000001,14.184000000000001,24.436825016513467,45603
118,620,success,,14.184000000000001,14.184000000000001,35.555464597418904,66218
118,622,success,,14.184000000000001,14.184000000000001,25.46422124840319,47144
118,778,success,,14.184000000000001,14.184000000000001,25.54982446692884,47815
118,1088,success,,14.188,14.188,25.190208727493882,46491
118,1244,success,,14.076,14.076,23.44924478046596,43713
119,2,success,,14.184000000000001,14.184000000000001,31.45584023371339,45749
119,3,success,,14.184000000000001,14.184000000000001,31.860954510048032,46485
119,4,success,,14.076,14.076,55.47147315181792,81569
119,312,success,,14.184000000000001,14.184000000000001,30.15131278336048,44455
119,620,success,,14.184000000000001,14.184000000000001,44.92540906369686,65859
119,622,success,,14.184000000000001,14.184000000000001,32.84961226955056,47875
119,778,success,,14.184000000000001,14.184000000000001,36.09702514484525,53165
119,1088,success,,14.188,14.188,36.59791303612292,53106
119,1244,success,,14.076,14.076,30.63225394114852,44886
120,2,success,,14.184000000000001,14.184000000000001,34.680328434333205,63849
120,3,success,,14.184000000000001,14.184000000000001,43.45166799239814,80011
120,4,success,,14.076,14.076,37.29650344327092,68565
120,312,success,,14.184000000000001,14.184000000000001,31.25945308804512,57850
120,620,success,,14.184000000000001,14.184000000000001,37.20407801680267,67954
120,622,success,,14.184000000000001,14.184000000000001,33.06526396423578,60287
120,778,success,,14.184000000000001,14.184000000000001,35.149598594754934,64891
120,1088,success,,14.188,14.188,40.82296282052994,74210
120,1244,success,,14.076,14.076,27.287456991150975,50157
121,2,success,,14.172,14.172,15.742440979927778,27634
121,3,success,,14.172,14.172,15.402787014842033,27257
121,4,success,,14.064,14.064,24.69860289618373,43655
121,312,success,,14.172,14.172,16.661111695691943,30083
121,620,success,,14.172,14.172,21.383645623922348,37280
121,622,success,,14.172,14.172,15.677037524059415,27267
121,778,success,,14.172,14.172,18.35235589928925,32572
121,1088,success,,14.176,14.176,16.80826038122177,28940
121,1244,success,,14.064,14.064,16.03035321086645,28426
122,2,success,,14.172,14.172,17.205027513206005,32170
122,3,success,,14.172,14.172,15.970095153898,29782
122,4,success,,14.064,14.064,24.28352095000446,45048
122,312,success,,14.172,14.172,17.68760208785534,33227
122,620,success,,14.172,14.172,22.016951829195023,41341
122,622,success,,14.172,14.172,16.48442516475916,30773
122,778,success,,14.172,14.172,19.331811849027872,36319
122,1088,success,,14.176,14.176,17.674560530111194,32965
122,1244,success,,14.064,14.064,16.935049932450056,31671
123,2,success,,14.172,14.172,17.608006425201893,31931
123,3,success,,14.172,14.172,17.444186011329293,31636
123,4,success,,14.064,14.064,19.468253863975406,35273
123,312,success,,14.172,14.172,17.777367498725653,32268
123,620,success,,14.172,14.172,18.328614376485348,33298
123,622,success,,14.172,14.172,17.348110239952803,31272
123,778,success,,14.172,14.172,18.52357007563114,33770
123,1088,success,,14.176,14.176,17.696801783517003,31851
123,1244,success,,14.064,14.064,16.690160991623998,30303
124,2,success,,14.136000000000001,14.136000000000001,7.635541966184974,13610
124,3,success,,14.136000000000001,14.136000000000001,9.025172809138894,16177
124,4,success,,14.028,14.028,9.294209161773324,16639
124,312,success,,14.136000000000001,14.136000000000001,7.852724527940154,14241
124,620,success,,14.136000000000001,14.136000000000001,11.767198987305164,21318
124,622,success,,14.136000000000001,14.136000000000001,13.949578389525414,25016
124,778,success,,14.136000000000001,14.136000000000001,9.3427026104182,16923
124,1088,success,,14.14,14.14,12.257819602265954,21975
124,1244,success,,14.028,14.028,12.37243246845901,22534
125,2,success,,14.136000000000001,14.136000000000001,8.270765034481883,14110
125,3,success,,14.136000000000001,14.136000000000001,9.667814405635,16561
125,4,success,,14.028,14.028,9.571454860270023,16366
125,312,success,,14.136000000000001,14.136000000000001,8.385557997971773,14242
125,620,success,,14.136000000000001,14.136000000000001,12.092630103230476,20844
125,622,success,,14.136000000000001,14.136000000000001,14.702356088906527,25436
125,778,success,,14.136000000000001,14.136000000000001,9.894974255934358,16843
125,1088,success,,14.14,14.14,12.663602830842137,21733
125,1244,success,,14.028,14.028,13.021872602403164,22324
126,2,success,,14.136000000000001,14.136000000000001,8.797398046590388,15884
126,3,success,,14.136000000000001,14.136000000000001,9.372985848225653,16950
126,4,success,,14.028,14.028,10.41360034327954,18589
126,312,success,,14.136000000000001,14.136000000000001,8.850450322031975,16080
126,620,success,,14.136000000000001,14.136000000000001,11.757754194550216,21396
126,622,success,,14.136000000000001,14.136000000000001,16.07966509182006,29484
126,778,success,,14.136000000000001,14.136000000000001,9.925987901166081,18101
126,1088,success,,14.14,14.14,12.58858331386,22745
126,1244,success,,14.028,14.028,13.824946600012481,25334
127,2,success,,14.176,14.176,37.931831335648894,52803
127,3,success,,14.176,14.176,36.6329141240567,50951
127,4,success,,14.068,14.068,66.66730830445886,92512
127,312,success,,14.176,14.176,36.71974032185972,51275
127,620,success,,14.176,14.176,63.42876228131354,88575
127,622,success,,14.176,14.176,39.8287939671427,54697
127,778,success,,14.176,14.176,44.1713761985302,61708
127,1088,success,,14.18,14.18,38.96023763343692,53956
127,1244,success,,14.068,14.068,34.262868056073785,47726
128,2,success,,14.176,14.176,43.58496214449406,55295
128,3,success,,14.176,14.176,44.69223720394075,56768
128,4,success,,14.068,14.068,98.91122511960566,124543
128,312,success,,14.176,14.176,48.137866305187345,61413
128,620,success,,14.176,14.176,62.587666472420096,79508
128,622,success,,14.176,14.176,50.92356951162219,64543
128,778,success,,14.176,14.176,58.07607285864651,74213
128,1088,success,,14.18,14.18,43.60756050236523,55189
128,1244,success,,14.068,14.068,39.656077183783054,50440
129,2,success,,14.176,14.176,81.93956564739347,114552
129,3,success,,14.176,14.176,79.6321991942823,111451
129,4,success,,14.068,14.068,104.10842387378216,145829
129,312,success,,14.176,14.176,87.44087483361363,123316
129,620,success,,14.176,14.176,87.82740375772119,122504
129,622,success,,14.176,14.176,85.71739385835826,119757
129,778,success,,14.176,14.176,90.25088069960475,126821
129,1088,success,,14.18,14.18,84.47241061367095,116861
129,1244,success,,14.068,14.068,53.9733654782176,75567
130,2,success,,14.156,14.156,27.705198569223285,37880
130,3,success,,14.156,14.156,25.696191331371665,35175
130,4,success,,14.048,14.048,35.71843806654215,48760
130,312,success,,14.156,14.156,28.81900078803301,39467
130,620,success,,14.156,14.156,43.44964009523392,59537
130,622,success,,14.156,14.156,32.020054176449776,43783
130,778,success,,14.156,14.156,29.30261386372149,40254
130,1088,success,,14.16,14.16,26.494582207873464,35829
130,1244,success,,14.048,14.048,29.606944177299738,40621
131,2,success,,14.156,14.156,32.08377464301884,44635
131,3,success,,14.156,14.156,28.76330960355699,40005
131,4,success,,14.048,14.048,36.41590174846351,50531
131,312,success,,14.156,14.156,31.620342617854476,44218
131,620,success,,14.156,14.156,47.5347761195153,66405
131,622,success,,14.156,14.156,32.9281495064497,45800
131,778,success,,14.156,14.156,34.120110496878624,47728
131,1088,success,,14.16,14.16,28.771198296919465,39767
131,1244,success,,14.048,14.048,30.723029986023903,42917
132,2,success,,14.156,14.156,25.75783810764551,35019
132,3,success,,14.156,14.156,26.166126936674118,35585
132,4,success,,14.048,14.048,27.228793039917946,35583
132,312,success,,14.156,14.156,26.808572739362717,36638
132,620,success,,14.156,14.156,27.35878405161202,37161
132,622,success,,14.156,14.156,26.243327075615525,34898
132,778,success,,14.156,14.156,25.4438141528517,34697
132,1088,success,,14.16,14.16,26.032747194170952,34195
132,1244,success,,14.048,14.048,31.300091119483113,42740
133,2,success,,14.096,14.096,11.972605172544718,16208
133,3,success,,14.096,14.096,16.884011160582304,23052
133,4,success,,13.988,13.988,16.4402233697474,22402
133,312,success,,14.096,14.096,18.151032717898488,24937
133,620,success,,14.096,14.096,13.756910286843777,18763
133,622,success,,14.096,14.096,18.79281915910542,25689
133,778,success,,14.096,14.096,15.560697130858898,21326
133,1088,success,,14.1,14.1,16.85569023899734,23046
133,1244,success,,13.988,13.988,19.70165663957596,27077
134,2,success,,14.096,14.096,13.025062980130315,17197
134,3,success,,14.096,14.096,17.289699241518974,22931
134,4,success,,13.988,13.988,17.26014309003949,22788
134,312,success,,14.096,14.096,18.035831417888403,24597
134,620,success,,14.096,14.096,14.118660999462008,18682
134,622,success,,14.096,14.096,20.25767390243709,26856
134,778,success,,14.096,14.096,15.285795651376247,21114
134,1088,success,,14.1,14.1,17.27906944230199,22892
134,1244,success,,13.988,13.988,19.71020396798849,26611
135,2,success,,14.096,14.096,14.075203275308013,19289
135,3,success,,14.096,14.096,19.28470995090902,26582
135,4,success,,13.988,13.988,19.55246353149414,26684
135,312,success,,14.096,14.096,21.07172367349267,29147
135,620,success,,14.096,14.096,15.054448947310448,20656
135,622,success,,14.096,14.096,21.49301070906222,29522
135,778,success,,14.096,14.096,15.493637036532164,21291
135,1088,success,,14.1,14.1,20.98707065731287,28689
135,1244,success,,13.988,13.988,22.115904223173857,30560
136,2,success,,14.168000000000001,14.168000000000001,63.45208850130439,69474
136,3,success,,14.168000000000001,14.168000000000001,52.20626595430076,57317
136,4,success,,14.06,14.06,83.1558796428144,89896
136,312,success,,14.168000000000001,14.168000000000001,62.355857994407415,69870
136,620,success,,14.168000000000001,14.168000000000001,104.57270522974432,112902
136,622,success,,14.168000000000001,14.168000000000001,57.20335619337857,61148
136,778,success,,14.168000000000001,14.168000000000001,64.24970792606473,70370
136,1088,success,,14.172,14.172,61.18701218999922,65684
136,1244,success,,14.06,14.06,46.68546141684055,52063
137,2,success,,14.168000000000001,14.168000000000001,93.42644247412682,104009
137,3,success,,14.168000000000001,14.168000000000001,67.56881467811763,75041
137,4,success,,14.06,14.06,129.6735341195017,143022
137,312,success,,14.168000000000001,14.168000000000001,81.00385214202106,89774
137,620,success,,14.168000000000001,14.168000000000001,137.50910526700318,152972
