dataset,channel,window_start_s,window_end_s,window_duration_s,n_delays,delay_samples_after_downsample,downsample,lowpass_hz,normalize,threshold,degree,smooth_window,split_method,train_trials,test_trials,train_trial_indices,test_trial_indices,dt,samples_per_window_before_downsample,samples_per_window_after_downsample,train_score_r2,test_score_r2,train_mse,test_mse,train_rmse,test_rmse,nonzero_terms,min_train_embedded_samples,min_test_embedded_samples,status,error
fixation_only_windowed,0,0.1,4.5,4.4,4,1,2,80.0,zscore,0.1,1,0,sequential_final_holdout,38,12,0 1 2 3 4 155 156 157 158 159 310 311 312 313 314 465 466 467 468 469 620 621 622 623 624 775 776 777 778 779 930 931 932 933 934 1085 1086 1087,1088 1089 1240 1241 1242 1243 1244 1395 1396 1397 1398 1399,0.004,2200,1100,0.9476780224086383,0.9460575786939096,259.2841803566582,341.5522400603997,16.10230357298788,18.481132001595565,14,1097,1097,ok,
fixation_only_windowed,0,0.1,4.5,4.4,4,1,2,80.0,zscore,0.1,2,0,sequential_final_holdout,38,12,0 1 2 3 4 155 156 157 158 159 310 311 312 313 314 465 466 467 468 469 620 621 622 623 624 775 776 777 778 779 930 931 932 933 934 1085 1086 1087,1088 1089 1240 1241 1242 1243 1244 1395 1396 1397 1398 1399,0.004,2200,1100,0.9484554219625709,0.9464573786607848,255.4317477098419,339.02091712344145,15.982232250528769,18.412520661860544,36,1097,1097,ok,
fixation_only_windowed,0,0.1,4.5,4.4,4,1,2,80.0,zscore,0.2,1,0,sequential_final_holdout,38,12,0 1 2 3 4 155 156 157 158 159 310 311 312 313 314 465 466 467 468 469 620 621 622 623 624 775 776 777 778 779 930 931 932 933 934 1085 1086 1087,1088 1089 1240 1241 1242 1243 1244 1395 1396 1397 1398 1399,0.004,2200,1100,0.9476779595174929,0.9460574599377307,259.2844919612924,341.5529924983607,16.102313248763124,18.48115235850732,12,1097,1097,ok,
fixation_only_windowed,0,0.1,4.5,4.4,4,1,2,80.0,zscore,0.2,2,0,sequential_final_holdout,38,12,0 1 2 3 4 155 156 157 158 159 310 311 312 313 314 465 466 467 468 469 620 621 622 623 624 775 776 777 778 779 930 931 932 933 934 1085 1086 1087,1088 1089 1240 1241 1242 1243 1244 1395 1396 1397 1398 1399,0.004,2200,1100,0.9484553590714255,0.9464572599046059,255.4320593144761,339.0216695614025,15.98224199899614,18.412541094629024,34,1097,1097,ok,
fixation_only_windowed,0,0.1,4.5,4.4,4,2,2,80.0,zscore,0.05,1,0,sequential_final_holdout,38,12,0 1 2 3 4 155 156 157 158 159 310 311 312 313 314 465 466 467 468 469 620 621 622 623 624 775 776 777 778 779 930 931 932 933 934 1085 1086 1087,1088 1089 1240 1241 1242 1243 1244 1395 1396 1397 1398 1399,0.004,2200,1100,0.7091631612300808,0.6930972528487096,1442.6168008403197,1941.0137352656852,37.98179565055238,44.05693742494688,17,1094,1094,ok,
fixation_only_windowed,0,0.1,4.5,4.4,4,2,2,80.0,zscore,0.05,2,0,sequential_final_holdout,38,12,0 1 2 3 4 155 156 157 158 159 310 311 312 313 314 465 466 467 468 469 620 621 622 623 624 775 776 777 778 779 930 931 932 933 934 1085 1086 1087,1088 1089 1240 1241 1242 1243 1244 1395 1396 1397 1398 1399,0.004,2200,1100,0.7138056804333976,0.6953751390050175,1419.5870674113903,1926.609857059073,37.677407917894115,43.893164126764354,59,1094,1094,ok,
fixation_only_windowed,0,0.1,4.5,4.4,4,2,2,80.0,zscore,0.1,1,0,sequential_final_holdout,38,12,0 1 2 3 4 155 156 157 158 159 310 311 312 313 314 465 466 467 468 469 620 621 622 623 624 775 776 777 778 779 930 931 932 933 934 1085 1086 1087,1088 1089 1240 1241 1242 1243 1244 1395 1396 1397 1398 1399,0.004,2200,1100,0.7091630314641071,0.6930971408530855,1442.617445152614,1941.0144426498841,37.981804132408115,44.05694545301438,16,1094,1094,ok,
fixation_only_windowed,0,0.1,4.5,4.4,4,2,2,80.0,zscore,0.1,2,0,sequential_final_holdout,38,12,0 1 2 3 4 155 156 157 158 159 310 311 312 313 314 465 466 467 468 469 620 621 622 623 624 775 776 777 778 779 930 931 932 933 934 1085 1086 1087,1088 1089 1240 1241 1242 1243 1244 1395 1396 1397 1398 1399,0.004,2200,1100,0.7138056459485272,0.695374529966781,1419.5872384921915,1926.613707914582,37.677410188230716,43.8932079929752,58,1094,1094,ok,
fixation_only_windowed,0,0.1,4.5,4.4,4,2,2,80.0,zscore,0.2,1,0,sequential_final_holdout,38,12,0 1 2 3 4 155 156 157 158 159 310 311 312 313 314 465 466 467 468 469 620 621 622 623 624 775 776 777 778 779 930 931 932 933 934 1085 1086 1087,1088 1089 1240 1241 1242 1243 1244 1395 1396 1397 1398 1399,0.004,2200,1100,0.7091630314641071,0.6930971408530855,1442.617445152614,1941.0144426498841,37.981804132408115,44.05694545301438,16,1094,1094,ok,
fixation_only_windowed,0,0.1,4.5,4.4,4,2,2,80.0,zscore,0.2,2,0,sequential_final_holdout,38,12,0 1 2 3 4 155 156 157 158 159 310 311 312 313 314 465 466 467 468 469 620 621 622 623 624 775 776 777 778 779 930 931 932 933 934 1085 1086 1087,1088 1089 1240 1241 1242 1243 1244 1395 1396 1397 1398 1399,0.004,2200,1100,0.713805607076318,0.6953719125490948,1419.5874310722527,1926.63028015187,37.677412743874186,43.893396771631494,57,1094,1094,ok,
