source,trial_type,channel,random_seed,train_trials,test_trials,train_trial_ids,test_trial_ids,downsample,lowpass_hz,normalize,window_start,window_end,degree,n_delays,delay_samples,delay_ms,embedding_span_ms,threshold,smooth_window,dt,train_score_r2,test_score_r2,test_derivative_rmse,nonzero_terms,jacobian_max_real,jacobian_eigenvalues,dynamic_status,rejection_reason,simulated_test_trials,trajectory_rmse,x0_rmse,x0_correlation,max_amplitude_ratio,collapse_std_ratio,psd_similarity,autocorrelation_similarity,distribution_ks,equations,error
lfp,fixation,0,0,28,9,1398 1 0 776 934 775 311 1086 310 156 930 621 777 158 467 931 313 932 314 157 155 469 779 465 933 1087 466 1085,4 1088 622 620 2 3 1244 778 312,2,35.0,zscore,,,1,2,2,8.0,8.0,0.01,9,0.004,0.8390920144742733,0.831801077958354,21.034197546276665,4,0.011990738979518412,0.0119907+50.4716j;0.0119907-50.4716j,rejected,PSD similarity below threshold,9,1.3613781839118155,1.3626109471163583,-0.0005731055190763572,0.42094430143216444,0.9404117373169468,0.1881910940792429,0.14663379713689634,0.2041292041292041,(x0)' =  107.985 x0 + -119.198 x1 | (x1)' =  119.176 x0 + -107.961 x1,
lfp,fixation,0,0,28,9,1398 1 0 776 934 775 311 1086 310 156 930 621 777 158 467 931 313 932 314 157 155 469 779 465 933 1087 466 1085,4 1088 622 620 2 3 1244 778 312,2,35.0,zscore,,,1,2,2,8.0,8.0,0.05,0,0.004,0.8392576949088728,0.832138442621157,22.625495241663106,4,-5.864189133797382e-05,-5.86419e-05+52.7568j;-5.86419e-05-52.7568j,rejected,PSD similarity below threshold; autocorrelation similarity below threshold,9,1.2947870457945574,1.2957661682944723,0.029031692652884713,0.38673552760967495,0.87352864473536,0.20971453391497355,0.174335059731595,0.1996891996891997,(x0)' =  105.213 x0 + -117.700 x1 | (x1)' =  117.698 x0 + -105.213 x1,
lfp,fixation,0,0,28,9,1398 1 0 776 934 775 311 1086 310 156 930 621 777 158 467 931 313 932 314 157 155 469 779 465 933 1087 466 1085,4 1088 622 620 2 3 1244 778 312,2,35.0,zscore,,,1,2,2,8.0,8.0,0.05,5,0.004,0.840770457102777,0.8336189536581402,22.37622111297056,4,0.00047508361689407863,0.000475084+52.5558j;0.000475084-52.5558j,rejected,PSD similarity below threshold; autocorrelation similarity below threshold,9,1.3000706445592554,1.3012690837623628,0.0248686269970833,0.388727025513457,0.8792177249938589,0.20849796421772265,0.17050891338523116,0.20046620046620045,(x0)' =  105.495 x0 + -117.863 x1 | (x1)' =  117.860 x0 + -105.494 x1,
lfp,fixation,0,0,28,9,1398 1 0 776 934 775 311 1086 310 156 930 621 777 158 467 931 313 932 314 157 155 469 779 465 933 1087 466 1085,4 1088 622 620 2 3 1244 778 312,2,35.0,zscore,,,1,2,2,8.0,8.0,0.05,9,0.004,0.8390920144742733,0.831801077958354,21.034197546276665,4,0.011990738979518412,0.0119907+50.4716j;0.0119907-50.4716j,rejected,PSD similarity below threshold,9,1.3613781839118155,1.3626109471163583,-0.0005731055190763572,0.42094430143216444,0.9404117373169468,0.1881910940792429,0.14663379713689634,0.2041292041292041,(x0)' =  107.985 x0 + -119.198 x1 | (x1)' =  119.176 x0 + -107.961 x1,
lfp,fixation,0,0,28,9,1398 1 0 776 934 775 311 1086 310 156 930 621 777 158 467 931 313 932 314 157 155 469 779 465 933 1087 466 1085,4 1088 622 620 2 3 1244 778 312,2,35.0,zscore,,,1,2,2,8.0,8.0,0.1,0,0.004,0.8392576949088728,0.832138442621157,22.625495241663106,4,-5.864189133797382e-05,-5.86419e-05+52.7568j;-5.86419e-05-52.7568j,rejected,PSD similarity below threshold; autocorrelation similarity below threshold,9,1.2947870457945574,1.2957661682944723,0.029031692652884713,0.38673552760967495,0.87352864473536,0.20971453391497355,0.174335059731595,0.1996891996891997,(x0)' =  105.213 x0 + -117.700 x1 | (x1)' =  117.698 x0 + -105.213 x1,
lfp,fixation,0,0,28,9,1398 1 0 776 934 775 311 1086 310 156 930 621 777 158 467 931 313 932 314 157 155 469 779 465 933 1087 466 1085,4 1088 622 620 2 3 1244 778 312,2,35.0,zscore,,,1,2,2,8.0,8.0,0.1,5,0.004,0.840770457102777,0.8336189536581402,22.37622111297056,4,0.00047508361689407863,0.000475084+52.5558j;0.000475084-52.5558j,rejected,PSD similarity below threshold; autocorrelation similarity below threshold,9,1.3000706445592554,1.3012690837623628,0.0248686269970833,0.388727025513457,0.8792177249938589,0.20849796421772265,0.17050891338523116,0.20046620046620045,(x0)' =  105.495 x0 + -117.863 x1 | (x1)' =  117.860 x0 + -105.494 x1,
lfp,fixation,0,0,28,9,1398 1 0 776 934 775 311 1086 310 156 930 621 777 158 467 931 313 932 314 157 155 469 779 465 933 1087 466 1085,4 1088 622 620 2 3 1244 778 312,2,35.0,zscore,,,1,2,2,8.0,8.0,0.1,9,0.004,0.8390920144742733,0.831801077958354,21.034197546276665,4,0.011990738979518412,0.0119907+50.4716j;0.0119907-50.4716j,rejected,PSD similarity below threshold,9,1.3613781839118155,1.3626109471163583,-0.0005731055190763572,0.42094430143216444,0.9404117373169468,0.1881910940792429,0.14663379713689634,0.2041292041292041,(x0)' =  107.985 x0 + -119.198 x1 | (x1)' =  119.176 x0 + -107.961 x1,
lfp,fixation,0,0,28,9,1398 1 0 776 934 775 311 1086 310 156 930 621 777 158 467 931 313 932 314 157 155 469 779 465 933 1087 466 1085,4 1088 622 620 2 3 1244 778 312,2,35.0,zscore,,,1,2,2,8.0,8.0,0.2,0,0.004,0.8392576949088728,0.832138442621157,22.625495241663106,4,-5.864189133797382e-05,-5.86419e-05+52.7568j;-5.86419e-05-52.7568j,rejected,PSD similarity below threshold; autocorrelation similarity below threshold,9,1.2947870457945574,1.2957661682944723,0.029031692652884713,0.38673552760967495,0.87352864473536,0.20971453391497355,0.174335059731595,0.1996891996891997,(x0)' =  105.213 x0 + -117.700 x1 | (x1)' =  117.698 x0 + -105.213 x1,
lfp,fixation,0,0,28,9,1398 1 0 776 934 775 311 1086 310 156 930 621 777 158 467 931 313 932 314 157 155 469 779 465 933 1087 466 1085,4 1088 622 620 2 3 1244 778 312,2,35.0,zscore,,,1,2,2,8.0,8.0,0.2,5,0.004,0.840770457102777,0.8336189536581402,22.37622111297056,4,0.00047508361689407863,0.000475084+52.5558j;0.000475084-52.5558j,rejected,PSD similarity below threshold; autocorrelation similarity below threshold,9,1.3000706445592554,1.3012690837623628,0.0248686269970833,0.388727025513457,0.8792177249938589,0.20849796421772265,0.17050891338523116,0.20046620046620045,(x0)' =  105.495 x0 + -117.863 x1 | (x1)' =  117.860 x0 + -105.494 x1,
lfp,fixation,0,0,28,9,1398 1 0 776 934 775 311 1086 310 156 930 621 777 158 467 931 313 932 314 157 155 469 779 465 933 1087 466 1085,4 1088 622 620 2 3 1244 778 312,2,35.0,zscore,,,1,2,2,8.0,8.0,0.2,9,0.004,0.8390920144742733,0.831801077958354,21.034197546276665,4,0.011990738979518412,0.0119907+50.4716j;0.0119907-50.4716j,rejected,PSD similarity below threshold,9,1.3613781839118155,1.3626109471163583,-0.0005731055190763572,0.42094430143216444,0.9404117373169468,0.1881910940792429,0.14663379713689634,0.2041292041292041,(x0)' =  107.985 x0 + -119.198 x1 | (x1)' =  119.176 x0 + -107.961 x1,
lfp,fixation,0,0,28,9,1398 1 0 776 934 775 311 1086 310 156 930 621 777 158 467 931 313 932 314 157 155 469 779 465 933 1087 466 1085,4 1088 622 620 2 3 1244 778 312,2,35.0,zscore,,,1,2,5,20.0,20.0,0.001,0,0.004,0.3038098745396811,0.28341170935820115,46.751724552282354,6,-0.013525492237321579,-0.0135255+31.7356j;-0.0135255-31.7356j,rejected,PSD similarity below threshold; autocorrelation similarity below threshold,9,1.3626260989461192,1.3632834423570064,-0.0025790314096576675,0.40899610064654623,0.909151150892373,0.11758944554325788,0.12345972372617364,0.21300921300921302,(x0)' =  0.004 1 +  20.538 x0 + -37.800 x1 | (x1)' = -0.012 1 +  37.818 x0 + -20.565 x1,
lfp,fixation,0,0,28,9,1398 1 0 776 934 775 311 1086 310 156 930 621 777 158 467 931 313 932 314 157 155 469 779 465 933 1087 466 1085,4 1088 622 620 2 3 1244 778 312,2,35.0,zscore,,,1,2,5,20.0,20.0,0.001,5,0.004,0.3079611840641039,0.28723680394641943,46.31793094100731,6,-0.013457248781989506,-0.0134572+31.8806j;-0.0134572-31.8806j,rejected,PSD similarity below threshold; autocorrelation similarity below threshold,9,1.3539709018094503,1.3535910147658894,0.010336471629829477,0.4095359843750767,0.9095963694641698,0.11745644069184487,0.11795403808148551,0.21156621156621155,(x0)' =  0.004 1 +  20.767 x0 + -38.046 x1 | (x1)' = -0.012 1 +  38.064 x0 + -20.794 x1,
lfp,fixation,0,0,28,9,1398 1 0 776 934 775 311 1086 310 156 930 621 777 158 467 931 313 932 314 157 155 469 779 465 933 1087 466 1085,4 1088 622 620 2 3 1244 778 312,2,35.0,zscore,,,1,2,5,20.0,20.0,0.001,9,0.004,0.3476391017161938,0.32405083697607073,42.17180755962055,6,-0.013809955579090705,-0.01381+33.0041j;-0.01381-33.0041j,rejected,PSD similarity below threshold; autocorrelation similarity below threshold,9,1.3588168048483091,1.3658298685993857,0.005307145546306519,0.41575486751141155,0.9212715553592837,0.11633245138409026,0.07998981581082704,0.2141192141192141,(x0)' =  0.005 1 +  23.037 x0 + -40.246 x1 | (x1)' = -0.012 1 +  40.268 x0 + -23.065 x1,
lfp,fixation,0,0,28,9,1398 1 0 776 934 775 311 1086 310 156 930 621 777 158 467 931 313 932 314 157 155 469 779 465 933 1087 466 1085,4 1088 622 620 2 3 1244 778 312,2,35.0,zscore,,,1,2,5,20.0,20.0,0.01,0,0.004,0.3038098722659145,0.2834117143037649,46.751724390910724,5,-0.013525750830468475,-0.0135258+31.7356j;-0.0135258-31.7356j,rejected,PSD similarity below threshold; autocorrelation similarity below threshold,9,1.3626051929158207,1.3632626371704506,-0.002577621681714246,0.40897425470686594,0.9091134802920292,0.11758944702630098,0.12345970674310652,0.21300921300921302,(x0)' =  20.538 x0 + -37.800 x1 | (x1)' = -0.012 1 +  37.818 x0 + -20.565 x1,
lfp,fixation,0,0,28,9,1398 1 0 776 934 775 311 1086 310 156 930 621 777 158 467 931 313 932 314 157 155 469 779 465 933 1087 466 1085,4 1088 622 620 2 3 1244 778 312,2,35.0,zscore,,,1,2,5,20.0,20.0,0.01,5,0.004,0.3079611820269798,0.2872368093642662,46.317930764923624,5,-0.013457495517955387,-0.0134575+31.8806j;-0.0134575-31.8806j,rejected,PSD similarity below threshold; autocorrelation similarity below threshold,9,1.3539506896867257,1.3535707277554856,0.010338694664923792,0.40951484493418566,0.909560336595646,0.11745644542306183,0.11795404171488487,0.21156621156621155,(x0)' =  20.767 x0 + -38.046 x1 | (x1)' = -0.012 1 +  38.064 x0 + -20.794 x1,
lfp,fixation,0,0,28,9,1398 1 0 776 934 775 311 1086 310 156 930 621 777 158 467 931 313 932 314 157 155 469 779 465 933 1087 466 1085,4 1088 622 620 2 3 1244 778 312,2,35.0,zscore,,,1,2,5,20.0,20.0,0.01,9,0.004,0.34763909783386404,0.3240508679464731,42.1718065927719,5,-0.013810313292949239,-0.0138103+33.0041j;-0.0138103-33.0041j,rejected,PSD similarity below threshold; autocorrelation similarity below threshold,9,1.358788660530848,1.3658028093194046,0.005306526528372185,0.4157213435786231,0.9212236673942109,0.11633245215901789,0.07998966842372332,0.2141192141192141,(x0)' =  23.037 x0 + -40.246 x1 | (x1)' = -0.012 1 +  40.268 x0 + -23.065 x1,
lfp,fixation,0,0,28,9,1398 1 0 776 934 775 311 1086 310 156 930 621 777 158 467 931 313 932 314 157 155 469 779 465 933 1087 466 1085,4 1088 622 620 2 3 1244 778 312,2,35.0,zscore,,,1,2,5,20.0,20.0,0.05,0,0.004,0.30380985039192926,0.2834117582623586,46.751722957310136,4,-0.013526937081566714,-0.0135269+31.7356j;-0.0135269-31.7356j,rejected,PSD similarity below threshold; autocorrelation similarity below threshold,9,1.362566957354191,1.3632219955424185,-0.0025894500427629326,0.40892330245954595,0.9090666545066173,0.11758944699613812,0.12345968146956292,0.21312021312021312,(x0)' =  20.538 x0 + -37.800 x1 | (x1)' =  37.818 x0 + -20.565 x1,
lfp,fixation,0,0,28,9,1398 1 0 776 934 775 311 1086 310 156 930 621 777 158 467 931 313 932 314 157 155 469 779 465 933 1087 466 1085,4 1088 622 620 2 3 1244 778 312,2,35.0,zscore,,,1,2,5,20.0,20.0,0.05,5,0.004,0.3079611606687913,0.2872368524918782,46.31792936401219,4,-0.013458662673215827,-0.0134587+31.8806j;-0.0134587-31.8806j,rejected,PSD similarity below threshold; autocorrelation similarity below threshold,9,1.3539126456031794,1.3535298583096886,0.01032488661400628,0.40945870517301486,0.9095142279287245,0.11745644635238121,0.11795414726980964,0.21167721167721168,(x0)' =  20.767 x0 + -38.046 x1 | (x1)' =  38.064 x0 + -20.794 x1,
