dataset,channel,n_delays,delay_samples_after_downsample,downsample,lowpass_hz,normalize,threshold,degree,smooth_window,train_trials,test_trials,dt,train_score_r2,test_score_r2,train_mse,test_mse,train_rmse,test_rmse,nonzero_terms,min_train_embedded_samples,min_test_embedded_samples,status,error
fixation_only,0,6,1,2,80.0,zscore,0.2,2,0,38,12,0.004,0.9745228907017335,0.9739767945311302,136.0332460657876,112.03888903918136,11.66332911589944,10.5848424191946,64,3517,3516,ok,
fixation_only,0,6,2,2,80.0,zscore,0.05,1,0,38,12,0.004,0.7529690230607833,0.7514019001837111,1317.714895349134,1069.9506939105934,36.30034290952544,32.71010079334201,36,3512,3511,ok,
fixation_only,0,6,2,2,80.0,zscore,0.05,2,0,38,12,0.004,0.756255433661281,0.7547673845121258,1300.184180150154,1055.4669858846767,36.058066783317074,32.48795139562784,168,3512,3511,ok,
fixation_only,0,6,2,2,80.0,zscore,0.1,1,0,38,12,0.004,0.7529690230607833,0.7514019001837111,1317.714895349134,1069.9506939105934,36.30034290952544,32.71010079334201,36,3512,3511,ok,
fixation_only,0,6,2,2,80.0,zscore,0.1,2,0,38,12,0.004,0.7562553164939559,0.7547671228210123,1300.1848050759895,1055.4681108216948,36.05807544886429,32.48796870876502,164,3512,3511,ok,
fixation_only,0,6,2,2,80.0,zscore,0.2,1,0,38,12,0.004,0.7529690230607833,0.7514019001837111,1317.714895349134,1069.9506939105934,36.30034290952544,32.71010079334201,36,3512,3511,ok,
fixation_only,0,6,2,2,80.0,zscore,0.2,2,0,38,12,0.004,0.7562546504085627,0.7547652810602209,1300.1883568597882,1055.4760350748563,36.05812469970933,32.48809066527081,157,3512,3511,ok,
fixation_only,0,6,5,2,80.0,zscore,0.05,1,0,38,12,0.004,0.26304703837660703,0.28170899064805116,3927.27369199095,3091.3437612288835,62.66796384111223,55.59985396769387,36,3497,3496,ok,
fixation_only,0,6,5,2,80.0,zscore,0.05,2,0,38,12,0.004,0.2744946447283892,0.2914223767419161,3866.2828365613514,3049.560126505569,62.1794406259927,55.222822514840445,160,3497,3496,ok,
fixation_only,0,6,5,2,80.0,zscore,0.1,1,0,38,12,0.004,0.26304703837660703,0.28170899064805116,3927.27369199095,3091.3437612288835,62.66796384111223,55.59985396769387,36,3497,3496,ok,
fixation_only,0,6,5,2,80.0,zscore,0.1,2,0,38,12,0.004,0.2744939887103072,0.2914181638291549,3866.2863312983663,3049.5782518507767,62.179468728016374,55.2229866255962,154,3497,3496,ok,
fixation_only,0,6,5,2,80.0,zscore,0.2,1,0,38,12,0.004,0.26304654861134386,0.28170863382983097,3927.2762995086887,3091.3452959777496,62.667984645340944,55.599867769426844,34,3497,3496,ok,
fixation_only,0,6,5,2,80.0,zscore,0.2,2,0,38,12,0.004,0.2744876440710881,0.2914080158997348,3866.320162999513,3049.6221794202706,62.17974077623284,55.22338435319109,145,3497,3496,ok,
